system,history_id,history_step,previous_actions,previous_observations,candidate_bus,candidate_amplitude,expected_continuous_objective,expected_snapped_objective,is_joint_optimal,is_bus_optimal,is_amplitude_optimal_given_bus,bus_objective_gap,history_source
ieee9,-1,0,,,0,0.05,1.0225000000000002,1.0237500000000002,0,0,0,0.09500000000000008,prior_h0
ieee9,-1,0,,,1,0.05,1.0225,1.01375,0,0,0,0.09250000000000014,prior_h0
ieee9,-1,0,,,2,0.05,1.0575,1.0462500000000001,0,0,0,0.14,prior_h0
ieee9,-1,0,,,3,0.05,0.9262500000000001,0.9774999999999999,0,1,0,0.0,prior_h0
ieee9,-1,0,,,4,0.05,1.0237500000000002,1.0375,0,0,0,0.10750000000000004,prior_h0
ieee9,-1,0,,,5,0.05,1.0862500000000002,1.045,0,0,0,0.12499999999999989,prior_h0
ieee9,-1,0,,,6,0.05,0.96125,1.00875,0,0,1,0.0462499999999999,prior_h0
ieee9,-1,0,,,7,0.05,0.9950000000000002,1.0175,0,0,1,0.08000000000000007,prior_h0
ieee9,-1,0,,,8,0.05,0.9687500000000002,1.0025,0,0,0,0.04749999999999999,prior_h0
ieee9,-1,0,,,0,0.075,1.0225000000000002,1.0212500000000002,0,0,0,0.09500000000000008,prior_h0
ieee9,-1,0,,,1,0.075,1.0212500000000002,1.0125,0,0,0,0.09250000000000014,prior_h0
ieee9,-1,0,,,2,0.075,1.0562500000000001,1.045,0,0,0,0.14,prior_h0
ieee9,-1,0,,,3,0.075,0.9150000000000001,0.975,1,1,1,0.0,prior_h0
ieee9,-1,0,,,4,0.075,1.0225000000000002,1.03625,0,0,1,0.10750000000000004,prior_h0
ieee9,-1,0,,,5,0.075,1.0862500000000002,1.045,0,0,0,0.12499999999999989,prior_h0
ieee9,-1,0,,,6,0.075,0.9637500000000001,1.01125,0,0,0,0.0462499999999999,prior_h0
ieee9,-1,0,,,7,0.075,0.9950000000000003,1.0175,0,0,0,0.08000000000000007,prior_h0
ieee9,-1,0,,,8,0.075,0.9625000000000001,1.0050000000000001,0,0,1,0.04749999999999999,prior_h0
ieee9,-1,0,,,0,0.1,1.0275,1.02375,0,0,0,0.09500000000000008,prior_h0
ieee9,-1,0,,,1,0.1,1.0137500000000002,1.0075,0,0,0,0.09250000000000014,prior_h0
ieee9,-1,0,,,2,0.1,1.0550000000000002,1.04375,0,0,1,0.14,prior_h0
ieee9,-1,0,,,3,0.1,0.9150000000000001,0.975,0,1,0,0.0,prior_h0
ieee9,-1,0,,,4,0.1,1.0225000000000002,1.03625,0,0,0,0.10750000000000004,prior_h0
ieee9,-1,0,,,5,0.1,1.0875000000000004,1.0462500000000001,0,0,0,0.12499999999999989,prior_h0
ieee9,-1,0,,,6,0.1,0.9675000000000001,1.0150000000000001,0,0,0,0.0462499999999999,prior_h0
ieee9,-1,0,,,7,0.1,1.0100000000000002,1.0275,0,0,0,0.08000000000000007,prior_h0
ieee9,-1,0,,,8,0.1,0.9650000000000002,1.0075,0,0,0,0.04749999999999999,prior_h0
ieee9,-1,0,,,0,0.15,1.0425000000000002,1.025,0,0,0,0.09500000000000008,prior_h0
ieee9,-1,0,,,1,0.15,1.0137500000000002,1.0075,0,0,0,0.09250000000000014,prior_h0
ieee9,-1,0,,,2,0.15,1.06125,1.04375,0,0,0,0.14,prior_h0
ieee9,-1,0,,,3,0.15,0.9275000000000002,0.97875,0,1,0,0.0,prior_h0
ieee9,-1,0,,,4,0.15,1.0250000000000001,1.03875,0,0,0,0.10750000000000004,prior_h0
ieee9,-1,0,,,5,0.15,1.04,1.06,0,0,1,0.12499999999999989,prior_h0
ieee9,-1,0,,,6,0.15,0.9725000000000001,1.0175,0,0,0,0.0462499999999999,prior_h0
