epoch,grad_norm
0,0.481754618195387
1,0.543011704316506
2,1.0637851907656743
3,0.7405429281151066
4,0.3464074180676387
5,0.3460207925393031
6,0.6111190640009366
7,0.9048764430559598
8,0.34154210640833926
9,0.3549968646122859
10,0.5114653293903058
11,0.3510521180354632
12,0.3371640420877017
13,0.3705883106360069
14,2.51967291533947
15,0.34283757123809594
16,0.8171891845189608
17,0.4073333258812244
18,0.8101078386490161
19,0.323837409583995
20,0.40130223677708554
21,0.33784440045173353
22,0.3562704301797427
23,0.3404782460286067
24,0.3333190548493384
25,0.36921541965924776
26,0.3507018043444707
27,0.34588099672244144
28,0.3542592410857861
29,0.36017044003193194
