system,mean_gap_cont,mean_gap_snap,wrong_bus_mean_cont,wrong_bus_mean_snap,case
ieee5,0.021914062500000005,0.01615625,0.019106352072864322,0.016061086683417086,BUS-B
ieee9,0.0026312500000000016,0.0023312500000000013,0.006779962311557791,0.004268969849246236,BUS-B
