system,history_id,history_step,b_star,A_star,action_star,J_star_continuous,J_star_snapped,second_action,second_bus,second_amplitude,gap_best_second_continuous,gap_best_second_snapped
ieee9,-1,0,3,0.3,48,0.9187500000000002,0.97875,21,3,0.1,0.011249999999999982,0.011249999999999982
ieee9,0,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,1,1,3,0.05,3,0.90375,0.9637499999999999,12,3,0.075,0.0,0.0
ieee9,2,1,3,0.05,3,0.9062500000000001,0.9662499999999999,12,3,0.075,0.0,0.0
ieee9,3,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,4,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,5,1,3,0.1,21,0.9262500000000002,0.9862500000000001,30,3,0.15,0.0,0.0
ieee9,6,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,7,1,3,0.05,3,0.9000000000000001,0.96,12,3,0.075,0.0,0.0
ieee9,8,1,3,0.15,30,0.9387500000000002,0.99875,46,1,0.3,0.0,-1.1102230246251565e-16
ieee9,9,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,10,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,11,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,12,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,13,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,14,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,15,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,16,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,17,1,2,0.05,2,0.9000000000000001,0.96,7,7,0.05,0.0,0.0
ieee9,18,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,19,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,20,1,3,0.05,3,0.9087500000000002,0.96875,12,3,0.075,0.0,0.0
ieee9,21,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,22,1,3,0.2,39,0.9237500000000001,0.98125,48,3,0.3,0.0012499999999999734,0.0012499999999999734
ieee9,23,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,24,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,25,1,3,0.05,3,0.9075000000000002,0.9675,12,3,0.075,0.0,0.0
ieee9,26,1,3,0.05,3,0.9100000000000001,0.97,12,3,0.075,0.0,0.0
ieee9,27,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,28,1,3,0.05,3,0.9875000000000002,0.98625,12,3,0.075,0.0,0.0
ieee9,29,1,3,0.05,3,0.9562500000000002,0.9937499999999999,12,3,0.075,0.0,0.0
ieee9,30,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,31,1,3,0.05,3,0.9150000000000001,0.975,12,3,0.075,0.0,0.0
ieee9,32,1,3,0.3,48,0.9150000000000001,0.975,1,1,0.05,0.0012499999999999734,0.0012499999999999734
ieee9,33,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,34,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,35,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,36,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,37,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,38,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,39,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,40,1,1,0.05,1,0.9000000000000001,0.96,2,2,0.05,0.0,0.0
ieee9,41,1,7,0.05,7,0.9000000000000001,0.96,8,8,0.05,0.0,0.0
