theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,64,"[1, 27, 0, 2]","[1.5390062048108504, 3.188935058822278, 1.568197121934194, 2.426878329168895]",0.7,0.1,0.6,1.0,True,True,False,True,4.7444373912934275,-0.08555275542912168,True,True,1.0000034434747893,0.9999982782655698,0.14999982782916485,0.0001312152622766739,0.049999827829164845,1.7393541831988841,43,54,2,9.5,0.0006347656250000611,0.4167343793087639,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
1,65,"[1, 25, 2, 0]","[1.749545956266471, 2.571909832068516, 1.6140807878589853, 2.109040170879326]",0.6,0.1,0.5,1.0,True,True,False,True,10.4881090220033,-0.11762911797249068,True,True,1.0000000009121375,0.9999999995439313,0.050000000072702215,3.74753875034366e-06,-0.04999999992729779,1.7251654060091823,31,38,2,3.5,0.0005126953125000056,0.41412201046478003,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
2,66,"[1, 28, 6, 11]","[2.1107312047729136, 3.8777826302978475, 1.964911402705821, 1.9033705477015745]",0.8,0.3,0.5,1.0,True,True,False,True,4.848379284386246,-0.08334330706210222,True,True,1.0002053473200074,0.999897336903566,0.25000512151340465,0.0005060132811120242,-0.04999487848659534,1.7343793869949877,6,56,2,2.5,0.0004394531249999889,0.4150422484963201,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
3,67,"[1, 0, 2, 3]","[3.4568296930552638, 1.7382298469357886, 1.5479993425929934, 6.435535921390876]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,1.4772018055440226e-21,-0.15000000000000002,1.7333299349993467,81,82,3,27.5,0.000244140625,0.4132113135419786,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
4,68,"[1, 28, 0, 2]","[2.8063682238641507, 3.078100517196187, 1.0503169444232934, 1.1996361074900814]",1.0,0.4,0.6,1.0,False,False,False,True,2.9696220675062928,-0.025230983616995065,True,True,1.0000030425914315,0.9999984787066001,0.44999999984737465,4.784747144130834e-06,0.04999999984737463,1.7339570010080934,53,58,2,14.0,0.0004638671874999667,0.4155109187704511,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
5,69,"[1, 29, 0, 2]","[1.9516450140873738, 2.4576360935513866, 1.262950681053929, 2.1470746301406067]",0.7,0.25,0.44999999999999996,1.0,True,True,False,True,9.50739012527667,-0.11114145525773114,True,True,1.0000000000000036,0.9999999999999982,0.1499999999999998,4.203401606314926e-09,-0.1000000000000002,1.7527418250683695,37,44,2,6.5,0.0006347656250000333,0.4193610332440585,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
6,70,"[1, 0, 2, 3]","[3.6382970089980478, 1.3720342335514906, 1.2787542080015273, 3.4614670480990246]",1.0,0.6,0.4,1.0,False,False,False,True,3.5821298688752155,-0.03333248743694302,True,True,1.0000316493313295,0.9999841755847474,0.45000000000000007,1.04895444353069e-14,-0.1499999999999999,1.7192461360245943,81,81,3,27.5,0.00036621093749997224,0.41088498779572546,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
7,71,"[1, 0, 2, 3]","[3.7895380458278756, 1.3484017394527408, 1.4096627678493516, 4.787787286391611]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.046383412305889,0.9773220306170577,0.6,1.688092759490459e-10,0.0,1.7731347791850567,81,81,3,27.5,0.0003417968750000222,0.4233227480435744,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
8,72,"[1, 27, 0, 2]","[1.5633317042906392, 1.8625602051169132, 1.4640324225024945, 1.4138520614746568]",0.7,0.1,0.6,1.0,True,True,False,True,7.546941317766077,-0.0930816473315543,True,True,1.0000001415401119,0.9999999292299492,0.10000001061550781,3.9903960928077554e-05,1.0615507806122082e-08,1.8077484010718763,53,53,2,14.0,0.0006347656250000056,0.4331436628708616,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
9,73,"[1, 28, 0, 2]","[2.142280838268114, 7.918467628727552, 1.7020301769529151, 1.3054857791005907]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.0000000000332787,0.9999999999833606,0.25,6.901052465177488e-25,-0.09999999999999998,1.72598517104052,53,57,2,14.0,0.0004150390625000111,0.41342914203414693,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
10,74,"[1, 25, 29, 0]","[1.7719315343296245, 1.8264104137899546, 5.365669472707159, 1.2689821467697278]",0.8,0.15,0.65,1.0,True,True,False,True,6.166435577619002,-0.06455663483250625,True,True,1.0,1.0,0.25,6.744177414490578e-13,0.1,2.288356683915481,26,55,1,1.0,0.00026855468750000555,0.5527440000441857,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
11,75,"[1, 27, 2, 7]","[1.5727284826870174, 1.3138704947690212, 0.9871336683727939, 1.2189645353187764]",0.7,0.1,0.6,1.0,True,True,False,True,3.8345857510671526,-0.08793770679492441,True,True,1.0122781106373535,0.9939024773136069,0.15060047043020436,0.007695615701564883,0.05060047043020435,1.8056374229490757,13,46,2,2.5,0.00087890624999995,0.43293876270763576,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
12,76,"[1, 0, 2, 3]","[3.5657201662516735, 1.9614892738107945, 1.203171892780484, 3.6938521383481038]",1.0,0.6,0.4,1.0,False,False,False,True,3.812486424973599,-0.03692550183659505,True,True,1.0000000004131067,0.9999999997934466,0.4499999999896723,7.185981502581444e-07,-0.1500000000103277,1.7653577469754964,81,82,3,27.5,0.000244140625,0.4216003142646514,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
