update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.21515624225139618,0.21515624225139618,RL-sBOED,0.256786584854126,64,3.972031354904175,,,,,,,,,,
2,0.21410156786441803,0.21410156786441803,RL-sBOED,0.035804033279418945,128,3.9653470516204834,,,,,,,,,,
3,0.21656250953674316,0.21656250953674316,RL-sBOED,0.03863859176635742,192,3.95495343208313,,,,,,,,,,
4,0.21832029521465302,0.22339841723442078,RL-sBOED,0.04082465171813965,256,3.9415955543518066,,,,,,,,,,
5,0.21410156786441803,0.21410156786441803,RL-sBOED,0.03679633140563965,320,3.922683000564575,,,,,,,,,,
6,0.2190234363079071,0.2190234363079071,RL-sBOED,0.04837965965270996,384,3.89915132522583,,,,,,,,,,
7,0.20671874284744263,0.20671874284744263,RL-sBOED,0.04933285713195801,448,3.87151837348938,,,,,,,,,,
8,0.20390625298023224,0.20390625298023224,RL-sBOED,0.03668379783630371,512,3.844052314758301,,,,,,,,,,
9,0.19652342796325684,0.19652342796325684,RL-sBOED,0.05890512466430664,576,3.808349609375,,,,,,,,,,
10,0.19687500596046448,0.19687500596046448,RL-sBOED,0.04455399513244629,640,3.7560007572174072,,,,,,,,,,
11,0.20109374821186066,0.20109374821186066,RL-sBOED,0.035944461822509766,704,3.6866648197174072,,,,,,,,,,
12,0.19652342796325684,0.19652342796325684,RL-sBOED,0.03248310089111328,768,3.599503755569458,,,,,,,,,,
13,0.19968751072883606,0.19968751072883606,RL-sBOED,0.03984665870666504,832,3.486579418182373,,,,,,,,,,
14,0.19371093809604645,0.19371093809604645,RL-sBOED,0.037950754165649414,896,3.3399171829223633,,,,,,,,,,
15,0.17578125,0.17578125,RL-sBOED,0.037635087966918945,960,3.187750816345215,,,,,,,,,,
16,0.18914063274860382,0.18914063274860382,RL-sBOED,0.046744346618652344,1024,3.0103065967559814,,,,,,,,,,
17,0.16945311427116394,0.16945311427116394,RL-sBOED,0.033101558685302734,1088,2.8012123107910156,,,,,,,,,,
18,0.1831640750169754,0.1831640750169754,RL-sBOED,0.03150367736816406,1152,2.5394654273986816,,,,,,,,,,
19,0.17859375476837158,0.17859375476837158,RL-sBOED,0.04397153854370117,1216,2.3963096141815186,,,,,,,,,,
20,0.17929688096046448,0.17929688096046448,RL-sBOED,0.03677105903625488,1280,2.2790040969848633,,,,,,,,,,
21,0.17929688096046448,0.17929688096046448,RL-sBOED,0.03919243812561035,1344,2.1918110847473145,,,,,,,,,,
22,0.16875000298023224,0.16875000298023224,RL-sBOED,0.03492856025695801,1408,2.1641623973846436,,,,,,,,,,
23,0.1764843761920929,0.1764843761920929,RL-sBOED,0.037865400314331055,1472,2.277724504470825,,,,,,,,,,
24,0.17332032322883606,0.17332032322883606,RL-sBOED,0.048423051834106445,1536,2.2846434116363525,,,,,,,,,,
