epoch,policy_entropy,entropy_coef,kl_coef
0,1.3203475303374803,0.02,0.05
1,1.304945951470962,0.019310344827586208,0.04666666666666667
2,1.2973529455753474,0.018620689655172412,0.043333333333333335
3,1.2967144411343794,0.01793103448275862,0.04000000000000001
4,1.296612879404655,0.017241379310344827,0.036666666666666674
5,1.2973214812003648,0.016551724137931035,0.03333333333333334
6,1.297357990191533,0.015862068965517243,0.03
7,1.2972225363437946,0.015172413793103448,0.02666666666666667
8,1.297766978924091,0.014482758620689656,0.023333333333333334
9,1.2978875648516874,0.013793103448275864,0.020000000000000004
10,1.2980009420559957,0.01310344827586207,0.01666666666666667
11,1.2986721190122457,0.012413793103448277,0.013333333333333336
12,1.301272228360176,0.011724137931034485,0.009999999999999998
13,1.3068737949316318,0.01103448275862069,0.006666666666666665
14,1.31230440391944,0.010344827586206895,0.0033333333333333327
15,1.3243649888497133,0.009655172413793102,0.0
16,1.4837941045944507,0.00896551724137931,0.0
17,1.3885126996498842,0.00827586206896552,0.0
18,1.3083047351011863,0.007586206896551724,0.0
19,1.300476032953996,0.006896551724137932,0.0
20,1.2988376926917296,0.006206896551724137,0.0
21,1.2975908002028098,0.005517241379310345,0.0
22,1.2975327498637712,0.004827586206896553,0.0
23,1.2976575310413654,0.004137931034482758,0.0
24,1.2976870410717452,0.003448275862068966,0.0
25,1.2977178073846376,0.0027586206896551735,0.0
26,1.2980707654586205,0.002068965517241379,0.0
27,1.2981537993137653,0.0013793103448275868,0.0
28,1.298480131305181,0.0006896551724137923,0.0
29,1.2985836233084018,0.0,0.0
