Time,Frequency_dev,Power_dev
0.0,-5.308001512793617e-07,0.19422164916992202
0.008333333333333333,-1.3330006835268986e-06,0.17291229248046847
0.016666666666666666,-1.871789231855551e-06,0.15977355957031225
0.025,-2.378317496485206e-06,0.14637435913085906
0.03333333333333333,-2.836511274515632e-06,0.13377899169921825
0.041666666666666664,-3.2511446810006445e-06,0.12121643066406218
0.05,-3.620912623540529e-06,0.10863998413085962
0.058333333333333334,-3.945766508235022e-06,0.09581512451171825
0.06666666666666667,-4.224420343347832e-06,0.08267379760742166
0.075,-4.455633447198343e-06,0.06913024902343778
0.08333333333333333,-4.637824981226929e-06,0.05514877319335909
0.09166666666666666,-4.769343970646726e-06,0.040689086914062145
0.1,-4.84852646373154e-06,0.025756988525390767
0.10833333333333334,-4.873620583654963e-06,0.00925979614257777
0.11666666666666667,-4.834771657278605e-06,-0.005672760009765909
0.125,-4.748744890109548e-06,-0.023081359863281747
0.13333333333333333,-4.592940468867454e-06,-0.03994400024414091
0.14166666666666666,-4.378886870315522e-06,-0.05715927124023423
0.15,-4.1029744598070675e-06,-0.07473464965820309
0.15833333333333333,-3.763929826749561e-06,-0.09262176513671871
0.16666666666666666,-3.360810039126252e-06,-0.110785217285156
0.175,-2.8927955031490502e-06,-0.12918914794921843
0.18333333333333332,-2.359047076058137e-06,-0.14777618408203175
0.19166666666666665,-1.7592112109544529e-06,-0.16651443481445316
0.2,-1.092760333478821e-06,-0.18535369873046914
0.20833333333333334,-3.5958927315158646e-07,-0.20424392700195337
0.21666666666666667,4.403562951414545e-07,-0.22313873291015618
0.225,1.3069066083756483e-06,-0.2420063781738282
0.23333333333333334,2.2398028351358327e-06,-0.26079620361328093
0.24166666666666667,3.2386900981511584e-06,-0.2794503784179687
0.25,4.302813952555259e-06,-0.29796051025390646
0.2583333333333333,5.431500717238583e-06,-0.3162492370605472
0.26666666666666666,6.62386817854598e-06,-0.3342968749999997
0.275,7.878794363991855e-06,-0.3520498657226563
0.2833333333333333,9.19513849917682e-06,-0.3694924926757812
0.2916666666666667,1.0571704059902778e-05,-0.38657470703124996
0.3,1.2006949839167671e-05,-0.4032754516601562
0.30833333333333335,1.3499483942745858e-05,-0.41955886840820344
0.31666666666666665,1.5047525323494359e-05,-0.43540298461914073
0.325,1.66494996112268e-05,-0.4507672119140622
0.3333333333333333,1.8303550099113895e-05,-0.46566558837890604
0.3416666666666667,2.0007882438630383e-05,-0.4800376892089844
0.35,2.1760545513477996e-05,-0.4939027404785161
0.35833333333333334,2.3559547758187366e-05,-0.5072225952148441
0.36666666666666664,2.5402904537965805e-05,-0.5200018310546879
0.375,2.7288697124751108e-05,-0.5322166442871099
0.3833333333333333,2.9214660488683045e-05,-0.5438879394531249
0.39166666666666666,3.117895987578815e-05,-0.5549943542480467
0.4,3.317933276901185e-05,-0.5655328369140626
0.4083333333333333,3.521371135782668e-05,-0.5755278015136716
0.4166666666666667,3.7280309438742115e-05,-0.5849624633789068
0.425,3.937671309087066e-05,-0.5938587951660157
0.43333333333333335,4.150124226366568e-05,-0.6022213745117186
0.44166666666666665,4.3651890135007545e-05,-0.6100631713867193
0.45,4.582673449965396e-05,-0.6174021911621095
0.4583333333333333,4.802394596953088e-05,-0.6242480468750005
0.4666666666666667,5.024173862223975e-05,-0.6306201171875001
0.475,5.247853922947761e-05,-0.6365354919433592
0.48333333333333334,5.4732459010942046e-05,-0.6420155334472657
0.49166666666666664,5.7002114579348993e-05,-0.6470739746093752
0.5,5.928592450110108e-05,-0.6517338562011723
0.5083333333333333,6.158243473217053e-05,-0.656015014648438
0.5166666666666666,6.389027492022271e-05,-0.6599429321289065
0.525,6.620816795440963e-05,-0.6635391235351564
