Time,Frequency_dev,Power_dev
0.0,-4.6597423707878954e-06,0.4901499938964804
0.008333333333333333,-1.1996253480396015e-05,0.46070999145507585
0.016666666666666666,-1.732687695879811e-05,0.4443943786621105
0.025,-2.2605968288147523e-05,0.42939086914062585
0.03333333333333333,-2.7686102175215184e-05,0.4165319824218727
0.041666666666666664,-3.262185783768563e-05,0.4049700927734392
0.05,-3.7417809120204876e-05,0.3942694091796852
0.058333333333333334,-4.208296845842731e-05,0.38411285400390227
0.06666666666666667,-4.662014779273517e-05,0.37429046630859375
0.075,-5.103279256912439e-05,0.3645820617675781
0.08333333333333333,-5.5319632877564865e-05,0.3548783874511727
0.09166666666666666,-5.948019169522062e-05,0.3450468444824182
0.1,-6.351197256539186e-05,0.33506454467773494
0.10833333333333334,-6.741300218989659e-05,0.3248397827148395
0.11666666666666667,-7.117948965601694e-05,0.314328155517579
0.125,-7.480766007062567e-05,0.3035684204101514
0.13333333333333333,-7.829471477880061e-05,0.29250976562499886
0.14166666666666666,-8.163693818002178e-05,0.28115524291992244
0.15,-8.483056921443371e-05,0.26954788208007585
0.15833333333333333,-8.787305516745821e-05,0.2576672363281247
0.16666666666666666,-9.076113104284366e-05,0.2455723571777355
0.175,-9.349246314720173e-05,0.23326629638671648
0.18333333333333332,-9.606485239687714e-05,0.2207786560058551
0.19166666666666665,-9.847658590299516e-05,0.20815017700195426
0.2,-0.00010072607829032256,0.19542984008788977
0.20833333333333334,-0.00010281299411741991,0.18265258789062244
0.21666666666666667,-0.00010473687363148154,0.16984344482421676
0.225,-0.00010649757066205885,0.1570857238769534
0.23333333333333334,-0.00010809645892210465,0.14439514160156364
0.24166666666666667,-0.00010953471178975612,0.13182479858398466
0.25,-0.00011081447657184046,0.11942932128906136
0.2583333333333333,-0.00011193794190334689,0.10724990844726534
0.26666666666666666,-0.00011290865945522808,0.09534652709960767
0.275,-0.00011373036710677434,0.08374893188476307
0.2833333333333333,-0.00011440715517730382,0.07252212524414148
0.2916666666666667,-0.00011494400741771663,0.06168563842773267
0.3,-0.00011534597009679216,0.051303863525390625
0.30833333333333335,-0.00011561905484330545,0.04141296386718807
0.31666666666666665,-0.00011576946786430731,0.03205856323241818
0.325,-0.00011580486117247643,0.02322540283203267
0.3333333333333333,-0.00011573087724050102,0.015007171630855964
0.3416666666666667,-0.00011555624915087447,0.007386322021481817
0.35,-0.00011528784757337078,0.00039764404296960265
0.35833333333333334,-0.00011493418230588958,-0.005933837890623295
0.36666666666666664,-0.00011450330438976997,-0.011632385253911082
0.375,-0.00011400249774355373,-0.01662506103515682
0.3833333333333333,-0.0001134414181650128,-0.020968017578127274
0.39166666666666666,-0.00011282740972274062,-0.024644165039063637
0.4,-0.00011216906732666828,-0.02764907836914432
0.4083333333333333,-0.00011147432052385141,-0.030016326904295454
0.4166666666666667,-0.00011075100472150892,-0.03172821044922358
0.425,-0.00011000750663813453,-0.032852478027344034
0.43333333333333335,-0.00010925058664855929,-0.03338485717773665
0.44166666666666665,-0.00010848704479920024,-0.03336761474609773
0.45,-0.00010772425371056306,-0.03281555175781392
0.4583333333333333,-0.00010696795204761856,-0.03178710937500284
0.4666666666666667,-0.00010622412137930996,-0.030306701660158808
0.475,-0.00010549810121300247,-0.02843124389648466
0.48333333333333334,-0.0001047942484165904,-0.026186523437502274
0.49166666666666664,-0.0001041172149190337,-0.023625946044923296
0.5,-0.00010347018538373711,-0.020798492431644888
0.5083333333333333,-0.00010285659131460175,-0.01774810791015824
0.5166666666666666,-0.00010227896636038795,-0.014527587890626137
0.525,-0.00010173896774343304,-0.011166076660160229
0.5333333333333333,-0.0001012382008098682,-0.0077355957031244316
0.5416666666666666,-0.00010077689046801089,-0.004279022216799433
0.55,-0.00010035566108191872,-0.0007937622070315342
0.5583333333333333,-9.997485302744287e-05,0.002615356445311079
0.5666666666666667,-9.963262603347606e-05,0.005948486328122726
0.575,-9.932846589949461e-05,0.009165496826170738
0.5833333333333334,-9.906061784750916e-05,0.012248840332027555
0.5916666666666667,-9.882751753431299e-05,0.015127868652342613
0.6,-9.862632281021447e-05,0.017814331054687216
0.6083333333333333,-9.845477500574442e-05,0.020291595458985512
0.6166666666666667,-9.831022745538847e-05,0.022531280517576135
0.625,-9.818988169394637e-05,0.024515533447264204
0.6333333333333333,-9.808992107469192e-05,0.026248931884765625
0.6416666666666666,-9.800822770754623e-05,0.0277099609375
0.65,-9.794084593384527e-05,0.028917999267576988
0.6583333333333333,-9.78849769426185e-05,0.02986846923828068
0.6666666666666666,-9.783796608114223e-05,0.030569610595698293
0.675,-9.779644001375355e-05,0.03103027343750142
0.6833333333333333,-9.775742315960307e-05,0.03127136230468608
0.6916666666666667,-9.771864557760606e-05,0.03130462646484489
0.7,-9.76774126198579e-05,0.031142425537105112
0.7083333333333334,-9.763183383504375e-05,0.03081863403320284
0.7166666666666667,-9.75798382190304e-05,0.030354309082028408
0.725,-9.752000247903281e-05,0.029753875732417612
0.7333333333333333,-9.745112377663617e-05,0.02907623291015682
0.7416666666666667,-9.737182687536336e-05,0.025646972656247158
0.75,-9.74225651058658e-05,0.02658126831054375
0.7583333333333333,-9.726899770715026e-05,0.023791503906245737
0.7666666666666666,-9.729422870034956e-05,0.024722137451171022
0.775,-9.711554252605711e-05,0.02202941894530852
0.7833333333333333,-9.711654080485346e-05,0.02052352905273125
0.7916666666666666,-9.704855085012563e-05,0.019738006591794033
0.8,-9.697393474757076e-05,0.018998107910157103
0.8083333333333333,-9.688837669053189e-05,0.018422088623047728
