system,seed,checkpoint,step,action_history,y_bin,perturbed_y,selected_action,logits,logits_before_masking,logits_after_masking,entropy,L1_policy_difference,history_embedding_L2_difference,logits_L2_difference,normalization_in_previous_policy
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,0,1.14189922256284,11,"[-1.9376487731933594, 0.8456271886825562, -0.5794546604156494, 0.7176915407180786, -0.7762693762779236, -0.5106236934661865, -0.6623569130897522, -0.42318594455718994, -0.5505216121673584, -1.505894660949707, -0.29645779728889465, 1.5483964681625366, -0.19387462735176086, 1.542427897453308, -0.9365452527999878, -2.0940091609954834, -0.9163252711296082, 0.630789041519165, 0.257866233587265, 0.09124253690242767, -1.0400882959365845, 1.481903314590454, 0.04711326211690903, -0.5931165218353271, 0.760185718536377, -1.0159718990325928, -0.6752351522445679, 0.5912107229232788, -1000000000.0, -0.15027424693107605]","[-1.9376487731933594, 0.8456271886825562, -0.5794546604156494, 0.7176915407180786, -0.7762693762779236, -0.5106236934661865, -0.6623569130897522, -0.42318594455718994, -0.5505216121673584, -1.505894660949707, -0.29645779728889465, 1.5483964681625366, -0.19387462735176086, 1.542427897453308, -0.9365452527999878, -2.0940091609954834, -0.9163252711296082, 0.630789041519165, 0.257866233587265, 0.09124253690242767, -1.0400882959365845, 1.481903314590454, 0.04711326211690903, -0.5931165218353271, 0.760185718536377, -1.0159718990325928, -0.6752351522445679, 0.5912107229232788, 1.180055022239685, -0.15027424693107605]","[-1.9376487731933594, 0.8456271886825562, -0.5794546604156494, 0.7176915407180786, -0.7762693762779236, -0.5106236934661865, -0.6623569130897522, -0.42318594455718994, -0.5505216121673584, -1.505894660949707, -0.29645779728889465, 1.5483964681625366, -0.19387462735176086, 1.542427897453308, -0.9365452527999878, -2.0940091609954834, -0.9163252711296082, 0.630789041519165, 0.257866233587265, 0.09124253690242767, -1.0400882959365845, 1.481903314590454, 0.04711326211690903, -0.5931165218353271, 0.760185718536377, -1.0159718990325928, -0.6752351522445679, 0.5912107229232788, -1000000000.0, -0.15027424693107605]",2.9467599391937256,0.004873223602771759,0.017868762835860252,0.034633077681064606,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,1,1.8147175084111042,11,"[-1.931695818901062, 0.8420226573944092, -0.5777552723884583, 0.7155853509902954, -0.773468554019928, -0.5102566480636597, -0.6595916152000427, -0.4211980700492859, -0.5506841540336609, -1.4985299110412598, -0.29548516869544983, 1.544681191444397, -0.19282673299312592, 1.5349735021591187, -0.9343559741973877, -2.0868759155273438, -0.9139196276664734, 0.6301380395889282, 0.25699833035469055, 0.09142272174358368, -1.037831425666809, 1.4773259162902832, 0.04468034207820892, -0.5895284414291382, 0.7594895362854004, -1.0145301818847656, -0.6717697381973267, 0.5902214646339417, -1000000000.0, -0.15018722414970398]","[-1.931695818901062, 0.8420226573944092, -0.5777552723884583, 0.7155853509902954, -0.773468554019928, -0.5102566480636597, -0.6595916152000427, -0.4211980700492859, -0.5506841540336609, -1.4985299110412598, -0.29548516869544983, 1.544681191444397, -0.19282673299312592, 1.5349735021591187, -0.9343559741973877, -2.0868759155273438, -0.9139196276664734, 0.6301380395889282, 0.25699833035469055, 0.09142272174358368, -1.037831425666809, 1.4773259162902832, 0.04468034207820892, -0.5895284414291382, 0.7594895362854004, -1.0145301818847656, -0.6717697381973267, 0.5902214646339417, 1.1760413646697998, -0.15018722414970398]","[-1.931695818901062, 0.8420226573944092, -0.5777552723884583, 0.7155853509902954, -0.773468554019928, -0.5102566480636597, -0.6595916152000427, -0.4211980700492859, -0.5506841540336609, -1.4985299110412598, -0.29548516869544983, 1.544681191444397, -0.19282673299312592, 1.5349735021591187, -0.9343559741973877, -2.0868759155273438, -0.9139196276664734, 0.6301380395889282, 0.25699833035469055, 0.09142272174358368, -1.037831425666809, 1.4773259162902832, 0.04468034207820892, -0.5895284414291382, 0.7594895362854004, -1.0145301818847656, -0.6717697381973267, 0.5902214646339417, -1000000000.0, -0.15018722414970398]",2.9492387771606445,0.002258573193103075,0.008544793352484703,0.01619376614689827,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,2,2.4875357942593688,11,"[-1.9264434576034546, 0.8388277292251587, -0.5763748288154602, 0.7137050628662109, -0.7710628509521484, -0.5099455118179321, -0.6571269035339355, -0.41943907737731934, -0.5509631037712097, -1.4918322563171387, -0.2947079837322235, 1.5416185855865479, -0.1919078677892685, 1.5283763408660889, -0.932586669921875, -2.080664873123169, -0.911853015422821, 0.629518985748291, 0.25630587339401245, 0.09148114174604416, -1.035823941230774, 1.4734220504760742, 0.04234125465154648, -0.5862455368041992, 0.7590062022209167, -1.0133576393127441, -0.6687765717506409, 0.589280903339386, -1000000000.0, -0.15006639063358307]","[-1.9264434576034546, 0.8388277292251587, -0.5763748288154602, 0.7137050628662109, -0.7710628509521484, -0.5099455118179321, -0.6571269035339355, -0.41943907737731934, -0.5509631037712097, -1.4918322563171387, -0.2947079837322235, 1.5416185855865479, -0.1919078677892685, 1.5283763408660889, -0.932586669921875, -2.080664873123169, -0.911853015422821, 0.629518985748291, 0.25630587339401245, 0.09148114174604416, -1.035823941230774, 1.4734220504760742, 0.04234125465154648, -0.5862455368041992, 0.7590062022209167, -1.0133576393127441, -0.6687765717506409, 0.589280903339386, 1.1723610162734985, -0.15006639063358307]","[-1.9264434576034546, 0.8388277292251587, -0.5763748288154602, 0.7137050628662109, -0.7710628509521484, -0.5099455118179321, -0.6571269035339355, -0.41943907737731934, -0.5509631037712097, -1.4918322563171387, -0.2947079837322235, 1.5416185855865479, -0.1919078677892685, 1.5283763408660889, -0.932586669921875, -2.080664873123169, -0.911853015422821, 0.629518985748291, 0.25630587339401245, 0.09148114174604416, -1.035823941230774, 1.4734220504760742, 0.04234125465154648, -0.5862455368041992, 0.7590062022209167, -1.0133576393127441, -0.6687765717506409, 0.589280903339386, -1000000000.0, -0.15006639063358307]",2.951368808746338,1.158728264272213e-05,4.60160881630145e-05,8.36067702039145e-05,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,3,3.1603540801076333,11,"[-1.9219731092453003, 0.8359889984130859, -0.5752869844436646, 0.7121099233627319, -0.7690243721008301, -0.5097797513008118, -0.6549941897392273, -0.41790980100631714, -0.5513491034507751, -1.4858930110931396, -0.29409047961235046, 1.5391191244125366, -0.1912040263414383, 1.5225615501403809, -0.9311426877975464, -2.0753352642059326, -0.9101455807685852, 0.6290873289108276, 0.2557407021522522, 0.09153004735708237, -1.0340766906738281, 1.4701368808746338, 0.04015134274959564, -0.5832988619804382, 0.7587440609931946, -1.0124603509902954, -0.6661096811294556, 0.5884068608283997, -1000000000.0, -0.14995551109313965]","[-1.9219731092453003, 0.8359889984130859, -0.5752869844436646, 0.7121099233627319, -0.7690243721008301, -0.5097797513008118, -0.6549941897392273, -0.41790980100631714, -0.5513491034507751, -1.4858930110931396, -0.29409047961235046, 1.5391191244125366, -0.1912040263414383, 1.5225615501403809, -0.9311426877975464, -2.0753352642059326, -0.9101455807685852, 0.6290873289108276, 0.2557407021522522, 0.09153004735708237, -1.0340766906738281, 1.4701368808746338, 0.04015134274959564, -0.5832988619804382, 0.7587440609931946, -1.0124603509902954, -0.6661096811294556, 0.5884068608283997, 1.1690951585769653, -0.14995551109313965]","[-1.9219731092453003, 0.8359889984130859, -0.5752869844436646, 0.7121099233627319, -0.7690243721008301, -0.5097797513008118, -0.6549941897392273, -0.41790980100631714, -0.5513491034507751, -1.4858930110931396, -0.29409047961235046, 1.5391191244125366, -0.1912040263414383, 1.5225615501403809, -0.9311426877975464, -2.0753352642059326, -0.9101455807685852, 0.6290873289108276, 0.2557407021522522, 0.09153004735708237, -1.0340766906738281, 1.4701368808746338, 0.04015134274959564, -0.5832988619804382, 0.7587440609931946, -1.0124603509902954, -0.6661096811294556, 0.5884068608283997, -1000000000.0, -0.14995551109313965]",2.953179359436035,0.0019715470261871815,0.007820517756044865,0.01422097161412239,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,4,3.833172365955898,11,"[-1.917650580406189, 0.8332434296607971, -0.5742294192314148, 0.7105653285980225, -0.7670539617538452, -0.5096193552017212, -0.6529327630996704, -0.41643112897872925, -0.5517131686210632, -1.4801602363586426, -0.293491393327713, 1.5366908311843872, -0.19052252173423767, 1.5169398784637451, -0.9297386407852173, -2.0701751708984375, -0.9084891676902771, 0.6286691427230835, 0.25519299507141113, 0.09158141911029816, -1.0323880910873413, 1.4669506549835205, 0.03804633766412735, -0.5804541110992432, 0.7584793567657471, -1.0115901231765747, -0.6635342836380005, 0.5875635147094727, -1000000000.0, -0.14985033869743347]","[-1.917650580406189, 0.8332434296607971, -0.5742294192314148, 0.7105653285980225, -0.7670539617538452, -0.5096193552017212, -0.6529327630996704, -0.41643112897872925, -0.5517131686210632, -1.4801602363586426, -0.293491393327713, 1.5366908311843872, -0.19052252173423767, 1.5169398784637451, -0.9297386407852173, -2.0701751708984375, -0.9084891676902771, 0.6286691427230835, 0.25519299507141113, 0.09158141911029816, -1.0323880910873413, 1.4669506549835205, 0.03804633766412735, -0.5804541110992432, 0.7584793567657471, -1.0115901231765747, -0.6635342836380005, 0.5875635147094727, 1.1659393310546875, -0.14985033869743347]","[-1.917650580406189, 0.8332434296607971, -0.5742294192314148, 0.7105653285980225, -0.7670539617538452, -0.5096193552017212, -0.6529327630996704, -0.41643112897872925, -0.5517131686210632, -1.4801602363586426, -0.293491393327713, 1.5366908311843872, -0.19052252173423767, 1.5169398784637451, -0.9297386407852173, -2.0701751708984375, -0.9084891676902771, 0.6286691427230835, 0.25519299507141113, 0.09158141911029816, -1.0323880910873413, 1.4669506549835205, 0.03804633766412735, -0.5804541110992432, 0.7584793567657471, -1.0115901231765747, -0.6635342836380005, 0.5875635147094727, -1000000000.0, -0.14985033869743347]",2.9549295902252197,0.0038688245695084333,0.015312813222408295,0.02789132110774517,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,5,4.505990651804162,11,"[-1.9127718210220337, 0.830089807510376, -0.572934627532959, 0.708765983581543, -0.7648754119873047, -0.5094747543334961, -0.650615930557251, -0.41475534439086914, -0.5519609451293945, -1.4738616943359375, -0.2927912175655365, 1.5337344408035278, -0.18975147604942322, 1.5105429887771606, -0.9280043840408325, -2.0641653537750244, -0.9065104126930237, 0.6281986236572266, 0.25457775592803955, 0.09174178540706635, -1.0305051803588867, 1.4631472826004028, 0.03591017425060272, -0.5773062109947205, 0.7579598426818848, -1.0105981826782227, -0.6606892347335815, 0.5866398215293884, -1000000000.0, -0.14977656304836273]","[-1.9127718210220337, 0.830089807510376, -0.572934627532959, 0.708765983581543, -0.7648754119873047, -0.5094747543334961, -0.650615930557251, -0.41475534439086914, -0.5519609451293945, -1.4738616943359375, -0.2927912175655365, 1.5337344408035278, -0.18975147604942322, 1.5105429887771606, -0.9280043840408325, -2.0641653537750244, -0.9065104126930237, 0.6281986236572266, 0.25457775592803955, 0.09174178540706635, -1.0305051803588867, 1.4631472826004028, 0.03591017425060272, -0.5773062109947205, 0.7579598426818848, -1.0105981826782227, -0.6606892347335815, 0.5866398215293884, 1.1623790264129639, -0.14977656304836273]","[-1.9127718210220337, 0.830089807510376, -0.572934627532959, 0.708765983581543, -0.7648754119873047, -0.5094747543334961, -0.650615930557251, -0.41475534439086914, -0.5519609451293945, -1.4738616943359375, -0.2927912175655365, 1.5337344408035278, -0.18975147604942322, 1.5105429887771606, -0.9280043840408325, -2.0641653537750244, -0.9065104126930237, 0.6281986236572266, 0.25457775592803955, 0.09174178540706635, -1.0305051803588867, 1.4631472826004028, 0.03591017425060272, -0.5773062109947205, 0.7579598426818848, -1.0105981826782227, -0.6606892347335815, 0.5866398215293884, -1000000000.0, -0.14977656304836273]",2.9569642543792725,0.0060609267093241215,0.023343095555901527,0.04341137781739235,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,6,5.178808937652426,11,"[-1.9083267450332642, 0.8271201252937317, -0.5718390345573425, 0.7071094512939453, -0.7629371285438538, -0.5094242095947266, -0.6484792232513428, -0.41320234537124634, -0.5523294806480408, -1.467926263809204, -0.292201429605484, 1.531180500984192, -0.18909117579460144, 1.5045313835144043, -0.9265009164810181, -2.05863094329834, -0.9047593474388123, 0.6278131008148193, 0.2540851831436157, 0.0918876975774765, -1.028780460357666, 1.45973801612854, 0.03379516303539276, -0.5743128061294556, 0.7576183676719666, -1.0098159313201904, -0.6580408811569214, 0.5857599377632141, -1000000000.0, -0.1496977061033249]","[-1.9083267450332642, 0.8271201252937317, -0.5718390345573425, 0.7071094512939453, -0.7629371285438538, -0.5094242095947266, -0.6484792232513428, -0.41320234537124634, -0.5523294806480408, -1.467926263809204, -0.292201429605484, 1.531180500984192, -0.18909117579460144, 1.5045313835144043, -0.9265009164810181, -2.05863094329834, -0.9047593474388123, 0.6278131008148193, 0.2540851831436157, 0.0918876975774765, -1.028780460357666, 1.45973801612854, 0.03379516303539276, -0.5743128061294556, 0.7576183676719666, -1.0098159313201904, -0.6580408811569214, 0.5857599377632141, 1.159008502960205, -0.1496977061033249]","[-1.9083267450332642, 0.8271201252937317, -0.5718390345573425, 0.7071094512939453, -0.7629371285438538, -0.5094242095947266, -0.6484792232513428, -0.41320234537124634, -0.5523294806480408, -1.467926263809204, -0.292201429605484, 1.531180500984192, -0.18909117579460144, 1.5045313835144043, -0.9265009164810181, -2.05863094329834, -0.9047593474388123, 0.6278131008148193, 0.2540851831436157, 0.0918876975774765, -1.028780460357666, 1.45973801612854, 0.03379516303539276, -0.5743128061294556, 0.7576183676719666, -1.0098159313201904, -0.6580408811569214, 0.5857599377632141, -1000000000.0, -0.1496977061033249]",2.958806037902832,0.008074364624917507,0.03109792061150074,0.057773686945438385,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,7,5.8516272235006905,11,"[-1.9043409824371338, 0.8244842290878296, -0.5708335638046265, 0.7056102752685547, -0.7612155675888062, -0.5093562006950378, -0.6465731859207153, -0.4118177890777588, -0.5526171326637268, -1.462674617767334, -0.29166629910469055, 1.528867483139038, -0.18847203254699707, 1.499184250831604, -0.9251378774642944, -2.0536608695983887, -0.9031705260276794, 0.6274298429489136, 0.2536546587944031, 0.09202315658330917, -1.027251958847046, 1.4566655158996582, 0.031963661313056946, -0.5716699361801147, 0.7572605013847351, -1.0091023445129395, -0.6557196378707886, 0.5849959254264832, -1000000000.0, -0.14962971210479736]","[-1.9043409824371338, 0.8244842290878296, -0.5708335638046265, 0.7056102752685547, -0.7612155675888062, -0.5093562006950378, -0.6465731859207153, -0.4118177890777588, -0.5526171326637268, -1.462674617767334, -0.29166629910469055, 1.528867483139038, -0.18847203254699707, 1.499184250831604, -0.9251378774642944, -2.0536608695983887, -0.9031705260276794, 0.6274298429489136, 0.2536546587944031, 0.09202315658330917, -1.027251958847046, 1.4566655158996582, 0.031963661313056946, -0.5716699361801147, 0.7572605013847351, -1.0091023445129395, -0.6557196378707886, 0.5849959254264832, 1.1560102701187134, -0.14962971210479736]","[-1.9043409824371338, 0.8244842290878296, -0.5708335638046265, 0.7056102752685547, -0.7612155675888062, -0.5093562006950378, -0.6465731859207153, -0.4118177890777588, -0.5526171326637268, -1.462674617767334, -0.29166629910469055, 1.528867483139038, -0.18847203254699707, 1.499184250831604, -0.9251378774642944, -2.0536608695983887, -0.9031705260276794, 0.6274298429489136, 0.2536546587944031, 0.09202315658330917, -1.027251958847046, 1.4566655158996582, 0.031963661313056946, -0.5716699361801147, 0.7572605013847351, -1.0091023445129395, -0.6557196378707886, 0.5849959254264832, -1000000000.0, -0.14962971210479736]",2.960453748703003,0.009873389266431332,0.037923261523246765,0.07057977467775345,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,2,28,8,6.524445509348955,11,"[-1.901016354560852, 0.8223384022712708, -0.5699478983879089, 0.7043285369873047, -0.7598183155059814, -0.5092549324035645, -0.6450033783912659, -0.4106787443161011, -0.5527698397636414, -1.4584376811981201, -0.2912086546421051, 1.5268921852111816, -0.1878993809223175, 1.4948081970214844, -0.9239712953567505, -2.0494942665100098, -0.9018059968948364, 0.627030611038208, 0.2533227801322937, 0.09214672446250916, -1.0260156393051147, 1.4540694952011108, 0.030570723116397858, -0.5695486068725586, 0.7568535804748535, -1.0084869861602783, -0.653897762298584, 0.5844104290008545, -1000000000.0, -0.14957857131958008]","[-1.901016354560852, 0.8223384022712708, -0.5699478983879089, 0.7043285369873047, -0.7598183155059814, -0.5092549324035645, -0.6450033783912659, -0.4106787443161011, -0.5527698397636414, -1.4584376811981201, -0.2912086546421051, 1.5268921852111816, -0.1878993809223175, 1.4948081970214844, -0.9239712953567505, -2.0494942665100098, -0.9018059968948364, 0.627030611038208, 0.2533227801322937, 0.09214672446250916, -1.0260156393051147, 1.4540694952011108, 0.030570723116397858, -0.5695486068725586, 0.7568535804748535, -1.0084869861602783, -0.653897762298584, 0.5844104290008545, 1.1535546779632568, -0.14957857131958008]","[-1.901016354560852, 0.8223384022712708, -0.5699478983879089, 0.7043285369873047, -0.7598183155059814, -0.5092549324035645, -0.6450033783912659, -0.4106787443161011, -0.5527698397636414, -1.4584376811981201, -0.2912086546421051, 1.5268921852111816, -0.1878993809223175, 1.4948081970214844, -0.9239712953567505, -2.0494942665100098, -0.9018059968948364, 0.627030611038208, 0.2533227801322937, 0.09214672446250916, -1.0260156393051147, 1.4540694952011108, 0.030570723116397858, -0.5695486068725586, 0.7568535804748535, -1.0084869861602783, -0.653897762298584, 0.5844104290008545, -1000000000.0, -0.14957857131958008]",2.961827039718628,0.011361229233443737,0.04335009306669235,0.08111753314733505,"tanh(y/10), not training-split z-score"
ieee5,101,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/seed_101/best_checkpoint.pt,3,28 11,0,1.14189922256284,13,"[-1.7756316661834717, 0.7586618661880493, -0.4965907037258148, 0.6496521234512329, -0.695460319519043, -0.4963776171207428, -0.5785465836524963, -0.3818785548210144, -0.512043297290802, -1.3489320278167725, -0.24090176820755005, -1000000000.0, -0.17747202515602112, 1.3579580783843994, -0.8541728258132935, -1.8954222202301025, -0.8477586507797241, 0.5870354175567627, 0.2411944419145584, 0.06762557476758957, -0.9824912548065186, 1.3263213634490967, 0.008921142667531967, -0.4957215189933777, 0.6878416538238525, -0.9305936098098755, -0.6143440008163452, 0.5822734236717224, -1000000000.0, -0.157308429479599]","[-1.7756316661834717, 0.7586618661880493, -0.4965907037258148, 0.6496521234512329, -0.695460319519043, -0.4963776171207428, -0.5785465836524963, -0.3818785548210144, -0.512043297290802, -1.3489320278167725, -0.24090176820755005, 1.408323884010315, -0.17747202515602112, 1.3579580783843994, -0.8541728258132935, -1.8954222202301025, -0.8477586507797241, 0.5870354175567627, 0.2411944419145584, 0.06762557476758957, -0.9824912548065186, 1.3263213634490967, 0.008921142667531967, -0.4957215189933777, 0.6878416538238525, -0.9305936098098755, -0.6143440008163452, 0.5822734236717224, 1.0653607845306396, -0.157308429479599]","[-1.7756316661834717, 0.7586618661880493, -0.4965907037258148, 0.6496521234512329, -0.695460319519043, -0.4963776171207428, -0.5785465836524963, -0.3818785548210144, -0.512043297290802, -1.3489320278167725, -0.24090176820755005, -1000000000.0, -0.17747202515602112, 1.3579580783843994, -0.8541728258132935, -1.8954222202301025, -0.8477586507797241, 0.5870354175567627, 0.2411944419145584, 0.06762557476758957, -0.9824912548065186, 1.3263213634490967, 0.008921142667531967, -0.4957215189933777, 0.6878416538238525, -0.9305936098098755, -0.6143440008163452, 0.5822734236717224, -1000000000.0, -0.157308429479599]",3.014024257659912,0.003400396555662155,0.010609825141727924,0.02263644151389599,"tanh(y/10), not training-split z-score"
