update,mean_kl_from_pre_finetune,selected_action_changes,branch_survival_rate,unique_selected_actions,selected_actions,policy_distributions
1,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.250140517950058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13376760482788086, 0.0, 0.0, 0.0, 0.0, 0.22642426192760468, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17574037611484528, 0.0, 0.0, 0.21392719447612762, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.24597184360027313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12909141182899475, 0.0, 0.0, 0.0, 0.0, 0.23179994523525238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17125330865383148, 0.0, 0.0, 0.22188343107700348, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.24757972359657288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13610012829303741, 0.0, 0.0, 0.0, 0.0, 0.22116594016551971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17275002598762512, 0.0, 0.0, 0.22240415215492249, 0.0, 0.0, 0.0, 0.0]]"
2,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3053983151912689, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13268038630485535, 0.0, 0.0, 0.0, 0.0, 0.16561168432235718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1601908653974533, 0.0, 0.0, 0.23611870408058167, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30331823229789734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.127482607960701, 0.0, 0.0, 0.0, 0.0, 0.16653291881084442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15555277466773987, 0.0, 0.0, 0.2471134513616562, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3019523024559021, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1369125247001648, 0.0, 0.0, 0.0, 0.0, 0.16098591685295105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15448276698589325, 0.0, 0.0, 0.2456664741039276, 0.0, 0.0, 0.0, 0.0]]"
3,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3356877267360687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15941525995731354, 0.0, 0.0, 0.0, 0.0, 0.1324460655450821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17434003949165344, 0.0, 0.0, 0.198110893368721, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.33260399103164673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15569201111793518, 0.0, 0.0, 0.0, 0.0, 0.1334112584590912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1666177660226822, 0.0, 0.0, 0.2116750180721283, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.32599663734436035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1676415652036667, 0.0, 0.0, 0.0, 0.0, 0.1304633915424347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1653517335653305, 0.0, 0.0, 0.210546612739563, 0.0, 0.0, 0.0, 0.0]]"
4,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.2885380685329437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2038896232843399, 0.0, 0.0, 0.0, 0.0, 0.13538485765457153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20928390324115753, 0.0, 0.0, 0.1629035472869873, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.28610652685165405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20499980449676514, 0.0, 0.0, 0.0, 0.0, 0.13627955317497253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19578032195568085, 0.0, 0.0, 0.17683380842208862, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.27305588126182556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21955424547195435, 0.0, 0.0, 0.0, 0.0, 0.13520412147045135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19423827528953552, 0.0, 0.0, 0.17794743180274963, 0.0, 0.0, 0.0, 0.0]]"
5,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.253534197807312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19690577685832977, 0.0, 0.0, 0.0, 0.0, 0.14339663088321686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24020273983478546, 0.0, 0.0, 0.16596071422100067, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.25492945313453674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19861261546611786, 0.0, 0.0, 0.0, 0.0, 0.1473037451505661, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.217797189950943, 0.0, 0.0, 0.18135692179203033, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2363666296005249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21816080808639526, 0.0, 0.0, 0.0, 0.0, 0.14586935937404633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21621648967266083, 0.0, 0.0, 0.18338671326637268, 0.0, 0.0, 0.0, 0.0]]"
6,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.30952200293540955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14074955880641937, 0.0, 0.0, 0.0, 0.0, 0.16698402166366577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23229750990867615, 0.0, 0.0, 0.15044686198234558, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.31778430938720703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13736510276794434, 0.0, 0.0, 0.0, 0.0, 0.1768764704465866, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2059195339679718, 0.0, 0.0, 0.16205470263957977, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2989708185195923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15508416295051575, 0.0, 0.0, 0.0, 0.0, 0.18029022216796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20454366505146027, 0.0, 0.0, 0.16111113131046295, 0.0, 0.0, 0.0, 0.0]]"
7,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3113380968570709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12060093879699707, 0.0, 0.0, 0.0, 0.0, 0.2026195377111435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21151186525821686, 0.0, 0.0, 0.15392957627773285, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3188454508781433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1151408776640892, 0.0, 0.0, 0.0, 0.0, 0.21639128029346466, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18316493928432465, 0.0, 0.0, 0.166457399725914, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2999594211578369, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1304444819688797, 0.0, 0.0, 0.0, 0.0, 0.2266586869955063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18075931072235107, 0.0, 0.0, 0.1621781289577484, 0.0, 0.0, 0.0, 0.0]]"
8,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3023037910461426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10082949697971344, 0.0, 0.0, 0.0, 0.0, 0.21192137897014618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21566760540008545, 0.0, 0.0, 0.16927772760391235, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3108266592025757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09605854004621506, 0.0, 0.0, 0.0, 0.0, 0.22896434366703033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18438349664211273, 0.0, 0.0, 0.17976690828800201, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.28956174850463867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11045791953802109, 0.0, 0.0, 0.0, 0.0, 0.2484523057937622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17459559440612793, 0.0, 0.0, 0.1769324243068695, 0.0, 0.0, 0.0, 0.0]]"
9,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3226269483566284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07833855599164963, 0.0, 0.0, 0.0, 0.0, 0.18262536823749542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23930175602436066, 0.0, 0.0, 0.1771073341369629, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.33464813232421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07547574490308762, 0.0, 0.0, 0.0, 0.0, 0.2019050121307373, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19940467178821564, 0.0, 0.0, 0.1885664165019989, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3146286606788635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08837014436721802, 0.0, 0.0, 0.0, 0.0, 0.2275891900062561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1791999489068985, 0.0, 0.0, 0.19021211564540863, 0.0, 0.0, 0.0, 0.0]]"
10,0.0,0,1.0,2,22 2 2,"[[0.0, 0.0, 0.2927369177341461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0662192702293396, 0.0, 0.0, 0.0, 0.0, 0.13668161630630493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3382081985473633, 0.0, 0.0, 0.1661539077758789, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3189221918582916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06376960128545761, 0.0, 0.0, 0.0, 0.0, 0.1569134145975113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27881860733032227, 0.0, 0.0, 0.18157616257667542, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30466577410697937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07713877409696579, 0.0, 0.0, 0.0, 0.0, 0.18407972157001495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24387450516223907, 0.0, 0.0, 0.1902412325143814, 0.0, 0.0, 0.0, 0.0]]"
