xi1,y1_bin,y1_bin_id,y1_low,y1_high,n_histories,dominant_xi2_star,dominant_fraction,n_unique_xi2_star,xi2_star_distribution
9,low,0,2.4074646258491725,2.7748413354022956,51,21,0.09803921568627451,20,"{""21"": 5, ""6"": 2, ""20"": 1, ""8"": 3, ""1"": 3, ""11"": 4, ""27"": 1, ""22"": 4, ""18"": 1, ""7"": 4, ""13"": 4, ""3"": 5, ""2"": 3, ""26"": 5, ""17"": 1, ""15"": 1, ""10"": 1, ""23"": 1, ""0"": 1, ""25"": 1}"
9,medium_low,1,2.7748413354022956,3.068046715940352,51,28,0.09803921568627451,23,"{""1"": 2, ""13"": 3, ""28"": 5, ""6"": 2, ""16"": 5, ""11"": 5, ""24"": 1, ""27"": 2, ""0"": 1, ""23"": 3, ""7"": 1, ""26"": 3, ""3"": 3, ""20"": 2, ""10"": 1, ""17"": 1, ""12"": 2, ""29"": 1, ""8"": 2, ""25"": 2, ""5"": 1, ""18"": 1, ""15"": 2}"
9,medium,2,3.068046715940352,3.5859758919171596,51,6,0.11764705882352941,18,"{""18"": 4, ""13"": 3, ""7"": 2, ""16"": 4, ""22"": 1, ""6"": 6, ""28"": 2, ""17"": 3, ""8"": 3, ""12"": 4, ""26"": 3, ""1"": 3, ""2"": 2, ""3"": 3, ""11"": 2, ""0"": 2, ""27"": 1, ""23"": 3}"
9,medium_high,3,3.5859758919171596,3.9590529736335904,51,18,0.13725490196078433,18,"{""8"": 5, ""18"": 7, ""28"": 2, ""15"": 2, ""26"": 2, ""21"": 1, ""25"": 3, ""23"": 5, ""27"": 1, ""10"": 6, ""20"": 3, ""5"": 2, ""13"": 2, ""6"": 3, ""0"": 2, ""3"": 1, ""1"": 3, ""12"": 1}"
9,high,4,3.9590529736335904,6.376477262286347,52,0,0.25,23,"{""20"": 3, ""23"": 3, ""5"": 2, ""0"": 13, ""3"": 1, ""16"": 4, ""22"": 1, ""7"": 1, ""28"": 1, ""6"": 2, ""2"": 2, ""21"": 2, ""1"": 5, ""15"": 1, ""10"": 2, ""18"": 1, ""13"": 1, ""26"": 2, ""8"": 1, ""25"": 1, ""12"": 1, ""19"": 1, ""14"": 1}"
10,low,0,1.17038840140068,1.4542926691215021,51,1,0.11764705882352941,20,"{""16"": 4, ""11"": 4, ""3"": 2, ""18"": 2, ""24"": 4, ""12"": 4, ""21"": 1, ""8"": 3, ""26"": 2, ""17"": 1, ""19"": 2, ""4"": 1, ""2"": 2, ""1"": 6, ""6"": 4, ""23"": 2, ""27"": 1, ""14"": 3, ""29"": 2, ""22"": 1}"
10,medium_low,1,1.4542926691215021,1.7345450918041754,51,26,0.1568627450980392,17,"{""18"": 6, ""16"": 4, ""26"": 8, ""6"": 4, ""28"": 3, ""8"": 2, ""11"": 2, ""21"": 2, ""29"": 1, ""23"": 2, ""7"": 4, ""2"": 1, ""27"": 1, ""24"": 3, ""1"": 3, ""3"": 3, ""17"": 2}"
10,medium,2,1.7345450918041754,1.9587378128103046,52,16,0.09615384615384616,22,"{""12"": 2, ""4"": 2, ""16"": 5, ""17"": 1, ""13"": 4, ""1"": 4, ""29"": 3, ""21"": 4, ""26"": 2, ""9"": 1, ""11"": 1, ""8"": 1, ""27"": 3, ""7"": 3, ""6"": 3, ""3"": 3, ""24"": 1, ""22"": 3, ""2"": 1, ""19"": 1, ""23"": 3, ""18"": 1}"
10,medium_high,3,1.9587378128103046,2.217519939389928,50,7,0.1,22,"{""19"": 1, ""28"": 3, ""7"": 5, ""5"": 2, ""25"": 1, ""14"": 4, ""21"": 5, ""17"": 3, ""16"": 2, ""8"": 3, ""9"": 4, ""13"": 3, ""3"": 2, ""24"": 2, ""11"": 2, ""1"": 1, ""29"": 1, ""12"": 1, ""6"": 1, ""18"": 1, ""26"": 2, ""4"": 1}"
10,high,4,2.217519939389928,2.670570935344352,52,4,0.09615384615384616,22,"{""4"": 5, ""11"": 4, ""27"": 2, ""16"": 3, ""14"": 1, ""1"": 4, ""22"": 3, ""23"": 3, ""13"": 2, ""28"": 1, ""2"": 2, ""17"": 4, ""19"": 3, ""9"": 3, ""29"": 1, ""7"": 3, ""18"": 1, ""6"": 2, ""24"": 2, ""12"": 1, ""26"": 1, ""8"": 1}"
11,low,0,1.3517353762284046,1.5526171184450184,51,12,0.13725490196078433,15,"{""17"": 6, ""2"": 4, ""19"": 1, ""12"": 7, ""22"": 3, ""15"": 4, ""27"": 5, ""20"": 4, ""0"": 2, ""7"": 7, ""29"": 1, ""25"": 1, ""18"": 2, ""28"": 3, ""8"": 1}"
11,medium_low,1,1.5526171184450184,2.1463055882641475,51,2,0.11764705882352941,21,"{""4"": 4, ""25"": 2, ""2"": 6, ""18"": 5, ""17"": 4, ""3"": 2, ""7"": 2, ""14"": 1, ""22"": 3, ""8"": 5, ""29"": 5, ""0"": 1, ""23"": 2, ""12"": 1, ""9"": 2, ""15"": 1, ""24"": 1, ""19"": 1, ""10"": 1, ""5"": 1, ""13"": 1}"
11,medium,2,2.1463055882641475,2.544172142662798,51,24,0.09803921568627451,21,"{""17"": 2, ""28"": 2, ""4"": 4, ""24"": 5, ""0"": 4, ""20"": 3, ""9"": 2, ""25"": 5, ""13"": 3, ""14"": 3, ""23"": 1, ""8"": 2, ""10"": 4, ""18"": 2, ""12"": 1, ""7"": 1, ""22"": 3, ""27"": 1, ""15"": 1, ""3"": 1, ""29"": 1}"
11,medium_high,3,2.544172142662798,2.8213398204294395,51,17,0.0784313725490196,20,"{""17"": 4, ""23"": 3, ""8"": 3, ""29"": 1, ""13"": 4, ""12"": 4, ""7"": 3, ""26"": 1, ""14"": 4, ""22"": 3, ""27"": 2, ""2"": 3, ""9"": 3, ""3"": 3, ""19"": 2, ""6"": 1, ""10"": 1, ""4"": 3, ""18"": 1, ""24"": 2}"
11,high,4,2.8213398204294395,3.818607620097715,52,0,0.5384615384615384,13,"{""10"": 3, ""0"": 28, ""9"": 2, ""24"": 2, ""12"": 4, ""19"": 2, ""14"": 2, ""7"": 2, ""5"": 2, ""4"": 2, ""15"": 1, ""6"": 1, ""27"": 1}"
12,low,0,0.8994305500644809,1.0705455502599537,51,6,0.17647058823529413,16,"{""16"": 5, ""29"": 5, ""18"": 2, ""11"": 4, ""9"": 2, ""6"": 9, ""21"": 5, ""26"": 4, ""24"": 3, ""3"": 1, ""1"": 4, ""23"": 1, ""14"": 2, ""19"": 2, ""28"": 1, ""8"": 1}"
12,medium_low,1,1.0705455502599537,1.1882525711255791,51,1,0.13725490196078433,17,"{""1"": 7, ""16"": 4, ""14"": 2, ""11"": 6, ""9"": 3, ""21"": 2, ""24"": 4, ""18"": 2, ""29"": 4, ""6"": 7, ""19"": 3, ""23"": 2, ""3"": 1, ""4"": 1, ""28"": 1, ""26"": 1, ""8"": 1}"
12,medium,2,1.1882525711255791,1.2921646014739405,51,16,0.1568627450980392,18,"{""15"": 1, ""8"": 3, ""21"": 3, ""3"": 2, ""29"": 2, ""16"": 8, ""19"": 4, ""1"": 2, ""13"": 2, ""6"": 8, ""4"": 5, ""11"": 4, ""18"": 1, ""20"": 1, ""26"": 2, ""28"": 1, ""9"": 1, ""24"": 1}"
12,medium_high,3,1.2921646014739405,1.435956193577279,51,16,0.1568627450980392,16,"{""18"": 3, ""16"": 8, ""26"": 5, ""23"": 3, ""13"": 5, ""10"": 1, ""21"": 2, ""19"": 3, ""11"": 4, ""3"": 4, ""6"": 2, ""28"": 2, ""1"": 4, ""8"": 2, ""29"": 2, ""14"": 1}"
12,high,4,1.435956193577279,2.8494494163352244,52,11,0.11538461538461539,20,"{""28"": 4, ""1"": 4, ""10"": 2, ""6"": 4, ""13"": 3, ""15"": 3, ""14"": 1, ""8"": 3, ""11"": 6, ""25"": 2, ""3"": 3, ""26"": 2, ""9"": 1, ""5"": 3, ""4"": 2, ""24"": 3, ""19"": 2, ""16"": 2, ""20"": 1, ""21"": 1}"
13,low,0,2.814975738741412,3.1264693587008585,51,9,0.09803921568627451,19,"{""20"": 2, ""9"": 5, ""6"": 3, ""29"": 4, ""24"": 3, ""5"": 1, ""19"": 2, ""4"": 4, ""16"": 4, ""26"": 2, ""14"": 3, ""11"": 4, ""12"": 2, ""21"": 4, ""1"": 3, ""10"": 1, ""0"": 2, ""25"": 1, ""15"": 1}"
13,medium_low,1,3.1264693587008585,3.536790838979627,51,29,0.09803921568627451,20,"{""2"": 2, ""11"": 4, ""15"": 3, ""29"": 5, ""24"": 4, ""9"": 1, ""16"": 2, ""12"": 3, ""22"": 1, ""5"": 2, ""6"": 4, ""20"": 2, ""26"": 4, ""27"": 1, ""4"": 2, ""21"": 4, ""25"": 3, ""7"": 1, ""14"": 1, ""19"": 2}"
