xi1,budget,Delta_adaptive,ci95_low,ci95_high,J_adaptive,J_common,n_unique,mean_gap,elapsed
20,64_32,-0.005019124348958293,-0.01054906209309889,0.0006857808430989997,0.8360860188802084,0.8310668945312499,16,0.003572591145833364,83.47019888693467
20,96_48,-0.005896448206018506,-0.009855143229166636,-0.002285879629629621,0.8369167751736111,0.8310203269675926,13,0.003268771701388895,239.976531626191
20,128_64,-0.004534912109375025,-0.00922297159830734,-0.0003321075439453329,0.8361887613932293,0.8316538492838541,11,0.003188069661458348,496.85798994312063
