xi1,n_histories,J_adaptive,J_common,Delta_adaptive,ci95_low,ci95_high,common_xi2,n_unique_xi2_star,dominant_xi2_star,dominant_fraction,near_tie_rate,mean_gap_best_second,xi2_star_distribution
10,256,0.841283416748047,0.8402208964029948,-0.001062520345052084,-0.0024140379163953983,0.0002979130215114997,3,26,16,0.0703125,0.04296875,0.003477054172092007,"{""19"": 7, ""18"": 11, ""16"": 18, ""12"": 8, ""4"": 9, ""26"": 15, ""28"": 7, ""7"": 15, ""11"": 13, ""5"": 2, ""6"": 14, ""17"": 11, ""3"": 10, ""13"": 9, ""25"": 1, ""27"": 7, ""24"": 12, ""1"": 18, ""29"": 8, ""21"": 12, ""14"": 8, ""8"": 10, ""9"": 8, ""22"": 7, ""23"": 10, ""2"": 6}"
11,256,0.8855105929904514,0.8856954786512587,0.00018488566080729048,-0.0003721555074055997,0.0007437070210774733,13,26,0,0.13671875,0.2265625,0.0013091193305121498,"{""4"": 13, ""17"": 16, ""10"": 9, ""25"": 8, ""2"": 13, ""18"": 10, ""23"": 6, ""28"": 5, ""0"": 35, ""8"": 11, ""29"": 8, ""3"": 6, ""13"": 8, ""9"": 9, ""7"": 15, ""14"": 10, ""24"": 10, ""12"": 17, ""22"": 12, ""19"": 6, ""20"": 7, ""15"": 7, ""26"": 1, ""27"": 9, ""5"": 3, ""6"": 2}"
12,256,0.8965076022677951,0.8962087843153212,-0.00029881795247395284,-0.0016651746961805504,0.0010478613111707968,6,23,6,0.1171875,0.015625,0.003385162353515614,"{""16"": 27, ""28"": 9, ""1"": 21, ""18"": 8, ""15"": 4, ""8"": 10, ""14"": 6, ""29"": 13, ""21"": 13, ""10"": 3, ""3"": 11, ""11"": 24, ""6"": 30, ""26"": 14, ""9"": 7, ""13"": 10, ""23"": 6, ""19"": 14, ""24"": 11, ""25"": 2, ""4"": 8, ""20"": 2, ""5"": 3}"
13,256,0.8579786512586806,0.8568052503797744,-0.001173400878906235,-0.002211102379692917,-0.00011755625406899249,4,28,0,0.20703125,0.31640625,0.0026047600640190954,"{""2"": 7, ""0"": 53, ""17"": 4, ""16"": 14, ""11"": 9, ""15"": 9, ""20"": 10, ""9"": 9, ""7"": 6, ""6"": 10, ""24"": 9, ""29"": 11, ""14"": 9, ""1"": 7, ""5"": 9, ""4"": 11, ""3"": 2, ""12"": 12, ""22"": 4, ""19"": 8, ""18"": 4, ""10"": 6, ""26"": 10, ""27"": 5, ""21"": 9, ""25"": 4, ""28"": 4, ""8"": 1}"
14,256,0.875726064046224,0.8751449584960938,-0.0005811055501302228,-0.001974616580539304,0.0007800165812174402,7,29,0,0.08203125,0.10546875,0.003287590874565971,"{""10"": 9, ""11"": 14, ""28"": 7, ""7"": 5, ""23"": 17, ""16"": 10, ""0"": 21, ""2"": 7, ""27"": 11, ""26"": 6, ""21"": 13, ""4"": 2, ""6"": 10, ""25"": 19, ""1"": 14, ""18"": 11, ""12"": 7, ""8"": 8, ""15"": 8, ""17"": 5, ""13"": 18, ""3"": 8, ""5"": 7, ""20"": 6, ""24"": 2, ""22"": 7, ""9"": 1, ""29"": 2, ""19"": 1}"
15,256,0.8404935201009116,0.8390314737955731,-0.0014620463053385338,-0.002807396782769085,-0.00013740115695529535,28,27,21,0.0703125,0.046875,0.003862677680121522,"{""2"": 8, ""22"": 7, ""9"": 11, ""6"": 14, ""11"": 15, ""21"": 18, ""18"": 10, ""16"": 10, ""12"": 8, ""24"": 11, ""26"": 8, ""7"": 9, ""19"": 15, ""13"": 7, ""23"": 11, ""1"": 15, ""3"": 16, ""8"": 14, ""4"": 6, ""29"": 4, ""14"": 9, ""17"": 9, ""28"": 12, ""27"": 5, ""25"": 2, ""20"": 1, ""0"": 1}"
16,256,0.8890132480197483,0.8884583367241754,-0.000554911295572919,-0.0010969373914930457,-2.720514933269189e-05,18,28,0,0.1328125,0.2265625,0.0012613932291666709,"{""14"": 10, ""22"": 7, ""9"": 9, ""13"": 9, ""18"": 10, ""28"": 10, ""0"": 34, ""2"": 13, ""5"": 7, ""19"": 14, ""8"": 6, ""27"": 9, ""4"": 11, ""23"": 10, ""15"": 10, ""6"": 1, ""12"": 9, ""1"": 5, ""7"": 14, ""25"": 12, ""20"": 10, ""24"": 9, ""29"": 4, ""10"": 4, ""17"": 9, ""3"": 6, ""11"": 3, ""26"": 1}"
17,256,0.8986874050564236,0.8979754977756076,-0.0007119072808159767,-0.002103199428982215,0.0006676589118109705,21,24,6,0.1015625,0.01171875,0.003337605794270827,"{""11"": 18, ""3"": 9, ""20"": 6, ""1"": 23, ""8"": 16, ""9"": 16, ""24"": 15, ""14"": 9, ""16"": 14, ""25"": 5, ""29"": 12, ""26"": 10, ""13"": 12, ""23"": 9, ""28"": 12, ""6"": 26, ""4"": 14, ""21"": 8, ""19"": 6, ""15"": 2, ""18"": 4, ""10"": 3, ""0"": 4, ""5"": 3}"
18,256,0.8520835028754341,0.8520426432291668,-4.08596462673585e-05,-0.001387121412489151,0.0013151380750868046,16,29,0,0.23828125,0.33203125,0.00250252617730035,"{""24"": 8, ""0"": 61, ""9"": 9, ""21"": 11, ""2"": 7, ""6"": 12, ""11"": 11, ""14"": 9, ""29"": 7, ""15"": 8, ""26"": 12, ""16"": 10, ""19"": 7, ""5"": 9, ""17"": 6, ""28"": 2, ""4"": 11, ""12"": 7, ""25"": 7, ""8"": 5, ""22"": 4, ""27"": 6, ""10"": 5, ""1"": 6, ""20"": 7, ""3"": 2, ""13"": 2, ""7"": 4, ""23"": 1}"
19,256,0.872378879123264,0.8712771945529514,-0.0011016845703125068,-0.002300523122151692,7.844289143879003e-05,15,26,0,0.0859375,0.13671875,0.0030834621853298608,"{""16"": 11, ""1"": 17, ""25"": 10, ""22"": 6, ""18"": 19, ""0"": 22, ""3"": 13, ""17"": 7, ""27"": 7, ""6"": 7, ""2"": 11, ""26"": 15, ""13"": 10, ""10"": 6, ""5"": 10, ""20"": 12, ""21"": 10, ""23"": 11, ""15"": 10, ""11"": 9, ""28"": 15, ""8"": 7, ""12"": 5, ""7"": 4, ""4"": 1, ""9"": 1}"
20,256,0.834529537624783,0.834539286295573,9.748670789943951e-06,-0.001426542070176854,0.0014505343967014,16,25,6,0.08203125,0.0625,0.003444671630859372,"{""4"": 9, ""23"": 10, ""13"": 13, ""21"": 4, ""6"": 21, ""19"": 15, ""24"": 12, ""22"": 15, ""3"": 8, ""11"": 11, ""28"": 10, ""16"": 11, ""17"": 9, ""27"": 10, ""9"": 13, ""8"": 9, ""29"": 11, ""2"": 6, ""1"": 14, ""18"": 10, ""26"": 6, ""7"": 12, ""14"": 6, ""12"": 10, ""25"": 1}"
21,256,0.8892727322048612,0.8889997694227432,-0.0002729627821180542,-0.0007176801893446186,0.00016810735066732758,28,29,0,0.12890625,0.19921875,0.0010878668891059055,"{""23"": 13, ""29"": 6, ""24"": 13, ""22"": 10, ""12"": 14, ""3"": 8, ""0"": 33, ""25"": 8, ""4"": 6, ""8"": 8, ""9"": 12, ""2"": 17, ""28"": 11, ""27"": 9, ""14"": 10, ""15"": 9, ""7"": 10, ""1"": 5, ""17"": 7, ""18"": 7, ""20"": 9, ""10"": 5, ""19"": 8, ""16"": 2, ""11"": 5, ""13"": 6, ""6"": 2, ""5"": 2, ""26"": 1}"
22,256,0.900516849093967,0.8995049370659722,-0.0010119120279947925,-0.0020612992180718405,4.019419352212994e-05,14,25,11,0.11328125,0.02734375,0.0032332526312934076,"{""21"": 15, ""28"": 15, ""16"": 25, ""8"": 10, ""26"": 12, ""4"": 6, ""11"": 29, ""6"": 14, ""5"": 5, ""1"": 19, ""14"": 11, ""0"": 3, ""18"": 14, ""24"": 8, ""10"": 4, ""23"": 8, ""29"": 11, ""13"": 14, ""3"": 9, ""19"": 8, ""25"": 5, ""20"": 4, ""9"": 3, ""15"": 3, ""27"": 1}"
23,256,0.8529852973090278,0.8530045403374567,1.9243028428816977e-05,-0.00124037212795681,0.0012538528442382884,25,28,0,0.2265625,0.31640625,0.0027648078070746564,"{""26"": 17, ""0"": 58, ""7"": 7, ""29"": 10, ""19"": 12, ""9"": 10, ""4"": 16, ""14"": 4, ""6"": 8, ""2"": 5, ""16"": 10, ""27"": 5, ""15"": 8, ""21"": 6, ""25"": 6, ""5"": 10, ""22"": 5, ""11"": 6, ""1"": 13, ""10"": 8, ""24"": 8, ""17"": 10, ""12"": 7, ""8"": 2, ""18"": 2, ""13"": 1, ""3"": 1, ""20"": 1}"
24,256,0.8734843783908421,0.8729213290744359,-0.0005630493164062531,-0.0018182606167263576,0.0007229783799913219,23,29,0,0.078125,0.11328125,0.0036041259765624972,"{""10"": 5, ""17"": 6, ""21"": 15, ""1"": 14, ""28"": 9, ""3"": 11, ""0"": 20, ""15"": 9, ""11"": 13, ""18"": 12, ""12"": 8, ""2"": 4, ""25"": 11, ""16"": 13, ""26"": 15, ""6"": 13, ""20"": 8, ""5"": 4, ""23"": 17, ""29"": 2, ""8"": 7, ""27"": 9, ""22"": 7, ""13"": 11, ""7"": 8, ""19"": 1, ""14"": 1, ""9"": 1, ""4"": 2}"
25,256,0.8379526774088543,0.8369570414225261,-0.0009956359863281194,-0.0022660191853841037,0.0002485593159993528,28,25,21,0.06640625,0.08203125,0.0032663133409288345,"{""26"": 15, ""21"": 17, ""27"": 9, ""8"": 12, ""24"": 8, ""17"": 10, ""19"": 7, ""18"": 13, ""16"": 11, ""1"": 17, ""6"": 15, ""9"": 9, ""4"": 10, ""7"": 10, ""3"": 14, ""23"": 16, ""13"": 11, ""12"": 6, ""29"": 6, ""14"": 9, ""28"": 10, ""11"": 10, ""20"": 1, ""22"": 7, ""2"": 3}"
26,256,0.8883441501193576,0.888461642795139,0.00011749267578124462,-0.00045897377861870813,0.0007003084818522012,9,29,0,0.11328125,0.171875,0.0013276841905381898,"{""27"": 6, ""14"": 10, ""9"": 6, ""15"": 11, ""23"": 20, ""17"": 7, ""3"": 10, ""0"": 29, ""1"": 4, ""4"": 12, ""19"": 11, ""11"": 4, ""24"": 10, ""20"": 10, ""13"": 7, ""21"": 2, ""7"": 10, ""28"": 6, ""12"": 8, ""6"": 3, ""18"": 14, ""25"": 12, ""5"": 2, ""8"": 8, ""2"": 7, ""10"": 5, ""22"": 8, ""16"": 3, ""29"": 11}"
27,256,0.9055281745062934,0.9050335354275174,-0.0004946390787760324,-0.0016879611545138717,0.0006774075826009244,6,24,16,0.109375,0.01953125,0.003293355305989591,"{""28"": 10, ""16"": 28, ""3"": 9, ""14"": 7, ""6"": 24, ""5"": 4, ""24"": 12, ""26"": 21, ""25"": 7, ""29"": 10, ""1"": 20, ""10"": 4, ""11"": 20, ""21"": 14, ""23"": 7, ""13"": 11, ""4"": 9, ""19"": 13, ""18"": 6, ""9"": 4, ""20"": 4, ""8"": 4, ""15"": 5, ""0"": 3}"
28,256,0.8560886806911894,0.8563419765896267,0.00025329589843748777,-0.0009996223449707038,0.0015481885274251203,24,28,0,0.28515625,0.34375,0.0027058071560329827,"{""21"": 14, ""0"": 73, ""22"": 13, ""26"": 3, ""11"": 10, ""5"": 4, ""4"": 10, ""6"": 11, ""24"": 8, ""9"": 5, ""20"": 7, ""2"": 6, ""1"": 12, ""19"": 9, ""29"": 7, ""16"": 8, ""15"": 8, ""14"": 13, ""3"": 4, ""27"": 4, ""13"": 2, ""10"": 6, ""12"": 6, ""7"": 3, ""25"": 6, ""18"": 2, ""23"": 1, ""8"": 1}"
29,256,0.8750277201334635,0.8739938524034289,-0.0010338677300347193,-0.0023153771294487906,0.00026293012830945494,28,27,18,0.05859375,0.12890625,0.0034815470377604144,"{""23"": 13, ""11"": 11, ""2"": 8, ""18"": 15, ""25"": 7, ""15"": 8, ""20"": 12, ""7"": 6, ""6"": 14, ""10"": 8, ""3"": 14, ""27"": 8, ""8"": 15, ""0"": 13, ""21"": 9, ""19"": 2, ""26"": 12, ""16"": 9, ""13"": 14, ""22"": 10, ""12"": 12, ""1"": 9, ""4"": 3, ""17"": 4, ""28"": 8, ""5"": 9, ""14"": 3}"
