rollout_id,theta_test_id,u_myopic,u_fixed,diff_m_minus_f,seq_myopic,seq_fixed,safe_myopic,safe_fixed
105,9,0.7,0.7,0.0,1 0,10 11,True,True
106,10,0.6,0.7,-0.09999999999999998,1 3,10 11,True,True
107,11,0.6,0.6,0.0,1 20,10 11,True,True
108,12,1.0,1.0,0.0,1 0,10 11,True,True
109,13,0.9,0.9,0.0,1 0,10 11,True,True
110,14,0.7,0.7,0.0,1 4,10 11,True,True
111,15,0.7,0.6,0.09999999999999998,16 3,10 11,True,True
112,0,0.6,0.5,0.09999999999999998,1 2,10 11,True,True
113,1,0.6,0.6,0.0,1 0,10 11,True,True
114,2,0.7,0.7,0.0,1 0,10 11,True,True
115,3,1.0,1.0,0.0,1 0,10 11,True,True
116,4,0.8,0.8,0.0,1 4,10 11,True,True
117,5,0.7,0.7,0.0,1 0,10 11,True,True
118,6,1.0,1.0,0.0,1 0,10 11,True,True
119,7,1.0,1.0,0.0,1 0,10 11,True,True
120,8,0.6,0.7,-0.09999999999999998,1 0,10 11,True,True
121,9,0.7,0.7,0.0,1 4,10 11,True,True
122,10,0.6,0.7,-0.09999999999999998,26 22,10 11,True,True
123,11,0.6,0.6,0.0,1 20,10 11,True,True
124,12,1.0,1.0,0.0,11 0,10 11,True,True
125,13,0.9,0.9,0.0,1 4,10 11,True,True
126,14,0.7,0.7,0.0,1 0,10 11,True,True
127,15,0.6,0.6,0.0,1 0,10 11,True,True
128,0,0.6,0.7,-0.09999999999999998,16 2,10 11,True,True
129,1,0.8,0.6,0.20000000000000007,6 4,10 11,True,True
130,2,0.7,0.7,0.0,1 4,10 11,True,True
131,3,1.0,1.0,0.0,1 0,10 11,True,True
132,4,0.8,0.8,0.0,1 0,10 11,True,True
133,5,0.7,0.7,0.0,1 0,10 11,True,True
134,6,1.0,1.0,0.0,16 0,10 11,True,True
135,7,1.0,1.0,0.0,11 0,10 11,True,True
136,8,0.5,0.5,0.0,16 2,10 11,True,True
137,9,0.7,0.7,0.0,1 0,10 11,True,True
138,10,0.7,0.7,0.0,16 25,10 11,True,True
139,11,0.5,0.6,-0.09999999999999998,1 3,10 11,True,True
140,12,1.0,1.0,0.0,21 2,10 11,True,True
141,13,0.9,0.9,0.0,1 0,10 11,True,True
142,14,0.7,0.7,0.0,6 0,10 11,True,True
143,15,0.6,0.6,0.0,1 15,10 11,True,True
144,0,0.6,0.7,-0.09999999999999998,1 22,10 11,True,True
145,1,0.8,0.7,0.10000000000000009,1 4,10 11,True,True
146,2,0.7,0.7,0.0,6 0,10 11,True,True
147,3,1.0,1.0,0.0,1 0,10 11,True,True
148,4,0.8,0.8,0.0,1 0,10 11,True,True
149,5,0.7,0.7,0.0,1 0,10 11,True,True
150,6,1.0,1.0,0.0,1 0,10 11,True,True
151,7,1.0,1.0,0.0,1 0,10 11,True,True
152,8,0.7,0.7,0.0,21 25,10 11,True,True
153,9,0.7,0.7,0.0,1 3,10 11,True,True
154,10,0.6,0.7,-0.09999999999999998,1 2,10 11,True,True
155,11,0.7,0.6,0.09999999999999998,26 2,10 11,True,True
156,12,1.0,1.0,0.0,1 0,10 11,True,True
