T,J_fixed,J_adaptive_reference,J_DAD_validation,J_DAD_dominant_replay_validation,J_DAD_frozen_test,J_DAD_dominant_replay_frozen_test,delta_adapt,adaptive_gap_captured,dad_dominant_sequence,dad_unique_sequences_val,dad_dominant_fraction_val
2,0.9633333333333333,0.9665364583333339,0.9728000000000003,0.9772000000000003,0.9688800000000003,nan,-0.0032031250000006395,nan,"[44, 3]",1,1.0
3,0.96,0.9600000000000004,0.9724000000000003,0.9724000000000003,0.9697600000000003,0.9697600000000003,-4.440892098500626e-16,nan,"[47, 3, 19]",1,1.0
