update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.1951171875,0.2001953125,DAD,1.2414414882659912,64,3.952694892883301,,,,,,,,,
2,0.1852734375,0.1852734375,DAD,1.006249189376831,128,3.953155040740967,,,,,,,,,
3,0.18140625,0.18140625,DAD,1.0147666931152344,192,3.9532816410064697,,,,,,,,,
4,0.1831640625,0.1831640625,DAD,0.9858710765838623,256,3.953223705291748,,,,,,,,,
5,0.19406250000000003,0.19406250000000003,DAD,0.9842815399169922,320,3.952803611755371,,,,,,,,,
6,0.18281250000000002,0.18281250000000002,DAD,0.9861693382263184,384,3.952441930770874,,,,,,,,,
7,0.18351562500000002,0.18351562500000002,DAD,0.9900376796722412,448,3.9521431922912598,,,,,,,,,
8,0.17859375000000002,0.17859375000000002,DAD,0.9850864410400391,512,3.9514050483703613,,,,,,,,,
9,0.1930078125,0.1930078125,DAD,0.9848103523254395,576,3.950977325439453,,,,,,,,,
10,0.1754296875,0.1754296875,DAD,0.9822430610656738,640,3.949812173843384,,,,,,,,,
11,0.1958203125,0.1958203125,DAD,0.954740047454834,704,3.94893479347229,,,,,,,,,
12,0.17859375,0.17859375,DAD,1.0183556079864502,768,3.948530673980713,,,,,,,,,
13,0.18527343750000003,0.18527343750000003,DAD,0.9894189834594727,832,3.9476513862609863,,,,,,,,,
14,0.1884375,0.1884375,DAD,0.9846000671386719,896,3.9469473361968994,,,,,,,,,
15,0.1866796875,0.1866796875,DAD,0.9856221675872803,960,3.9460935592651367,,,,,,,,,
16,0.18703124999999998,0.18703124999999998,DAD,0.9824466705322266,1024,3.9457292556762695,,,,,,,,,
17,0.1817578125,0.1817578125,DAD,0.9859614372253418,1088,3.944915771484375,,,,,,,,,
18,0.1796484375,0.1796484375,DAD,0.9835875034332275,1152,3.944420337677002,,,,,,,,,
19,0.18984375000000003,0.18984375000000003,DAD,0.9847769737243652,1216,3.9436278343200684,,,,,,,,,
20,0.18878906250000002,0.18878906250000002,DAD,0.9973397254943848,1280,3.9429941177368164,,,,,,,,,
21,0.2000390625,0.2000390625,DAD,0.9898271560668945,1344,3.9422507286071777,,,,,,,,,
22,0.1789453125,0.1789453125,DAD,1.0499317646026611,1408,3.9415476322174072,,,,,,,,,
23,0.1831640625,0.1831640625,DAD,0.9205663204193115,1472,3.941072940826416,,,,,,,,,
24,0.1951171875,0.1951171875,DAD,1.0269904136657715,1536,3.9405243396759033,,,,,,,,,
25,0.19265625000000003,0.19265625000000003,DAD,1.0233466625213623,1600,3.940121650695801,0.16365234375,11,1.9568977805656858,0.0859375,0.0078125,1,0.00017578125000000005,0.16365234375,0
26,0.18667968750000002,0.18667968750000002,DAD,1.0246410369873047,1664,3.9396462440490723,,,,,,,,,
27,0.189140625,0.189140625,DAD,1.0251808166503906,1728,3.9392409324645996,,,,,,,,,
28,0.179296875,0.179296875,DAD,1.022608995437622,1792,3.9391822814941406,,,,,,,,,
29,0.1859765625,0.1859765625,DAD,1.0235226154327393,1856,3.9386439323425293,,,,,,,,,
30,0.189140625,0.189140625,DAD,1.0367450714111328,1920,3.9384219646453857,,,,,,,,,
31,0.184921875,0.184921875,DAD,1.040689468383789,1984,3.938434600830078,,,,,,,,,
32,0.1873828125,0.1873828125,DAD,1.0599782466888428,2048,3.9374914169311523,,,,,,,,,
33,0.18070312500000002,0.18070312500000002,DAD,1.0559918880462646,2112,3.9372215270996094,,,,,,,,,
34,0.1828125,0.1828125,DAD,1.0501646995544434,2176,3.936474323272705,,,,,,,,,
35,0.17683593749999998,0.17683593749999998,DAD,1.0532939434051514,2240,3.9356603622436523,,,,,,,,,
