system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee9,101,0,0.98,0.9833333333333334,1.0,0.9833333333333334,3.9684789180755615,3.9877545833587646,3.968379497528076,3.9493024349212646,0.01,0.07892558723688126,0.07892558723688126,0,-3.104408582051595e-10,0.06733003058753827,4,8 12 45,0.25,2.0,0.75,0.75,0.0,-0.11884474009275436
ieee9,101,1,0.96,0.9633333333333333,1.0,0.9633333333333333,3.9684669971466064,3.9877865314483643,3.968329429626465,3.9492859840393066,0.0,0.09220276772975922,0.09220276772975922,0,9.313225746154785e-10,0.07831559836579984,4,38 53 43,0.25,1.0,1.0,1.0,0.0,0.001476570963859558
