theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
10,10,"[18, 19, 25]","[3.4170973203553605, 4.913644181168347, 1.7806180258946573]",1.0,0.15,0.85,1.0,False,False,False,True,6.166435577619002,-0.01347753697974646,True,True,1.0,1.0,0.45,1.9210501349987913e-13,0.30000000000000004,0.07670430210418999,0,0,0,nan,nan,0.0019561697263270617,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
11,11,"[18, 19, 25]","[3.315223250157261, 3.564172908853898, 3.611965294188931]",1.0,0.1,0.9,1.0,False,False,False,True,3.83499396088034,-0.012039441873099573,True,True,1.0,1.0,0.45,1.148567291025608e-10,0.35,0.07544701010920107,0,0,0,nan,nan,0.00164239799293379,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
12,12,"[18, 19, 25]","[3.8499560260764785, 2.673964955359719, 2.5366707017418912]",0.7,0.6,0.09999999999999998,1.0,True,True,False,True,5.6673380589642885,-0.1921656528322248,True,True,1.0367380359525262,0.9819563360476143,0.14819563360476143,0.013310931651675973,-0.4518043663952386,0.07371332589536905,0,0,0,nan,nan,0.0015771372709423304,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
13,13,"[18, 19, 25]","[3.5602847770124697, 2.2430002229780905, 2.458995822996523]",0.6,0.45,0.14999999999999997,1.0,True,True,False,True,3.659642948904991,-0.19949826095844175,True,True,1.0000045144465508,0.9999977427818709,0.05000056085677552,0.0003739907801583378,-0.3999994391432245,0.07796035311184824,0,0,0,nan,nan,0.002340679677824179,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
14,14,"[18, 19, 25]","[4.967670860414469, 3.4879214345427565, 3.26311597657358]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,5.582985984419171,-0.048023904931208915,True,True,1.0,1.0,0.3,3.6228194809043476e-17,0.0,0.07397599308751523,0,0,0,nan,nan,0.0014297353724638622,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
15,15,"[18, 19, 25]","[3.4859294825843574, 2.3489578112918132, 3.853874539481127]",1.0,0.2,0.8,1.0,False,False,False,True,4.7717893118063515,-0.013637820277462246,True,True,1.0,1.0,0.45,1.3370509406573523e-24,0.25,0.07816030201502144,0,0,0,nan,nan,0.0018448610013971727,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
0,16,"[18, 19, 25]","[3.2516194932733926, 4.00477259193693, 2.0391688462891966]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.073780241539841,0.9643756464475151,0.4410941933623445,0.04633678887874393,0.3410941933623445,0.07270917599089444,0,0,0,nan,nan,0.0015671712656815846,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
1,17,"[18, 19, 26]","[4.748556448355611, 6.923516647190075, 1.654398058495243]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0,1.0,0.25,1.6860871138338135e-24,0.15,0.07604458602145314,0,0,0,nan,nan,0.001887416389460365,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
2,18,"[18, 19, 25]","[3.4714266705851156, 4.307311111055589, 1.493130027081073]",0.8,0.3,0.5,1.0,True,True,False,True,4.848379284386246,-0.08334330706210222,True,True,1.0149930158625875,0.9925730325623627,0.25089362503867324,0.01217940965655491,-0.04910637496132675,0.07858847198076546,0,0,0,nan,nan,0.0017834090782950323,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
3,19,"[18, 19, 26]","[6.777322873676827, 4.6333153896253885, 2.653281637404765]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,2.9988818704209622e-27,-0.15000000000000002,0.07543220208026469,0,0,0,nan,nan,0.002026037002603213,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
