method,init_mode,seed,n_unique_sequences,dominant_sequence,dominant_sequence_fraction,observation_dependent_rate,n_rollouts
DAD,random,101,2,30 12 13,0.96875,0.03125,64
DAD,random,202,1,48 35 22,1.0,0.0,64
DAD,random,303,3,30 46 26,0.953125,0.046875,64
DAD,random,404,2,30 13 44,0.578125,0.421875,64
DAD,random,505,1,12 2 42,1.0,0.0,64
DAD,fixed,101,1,0 3 47,1.0,0.0,64
DAD,fixed,202,1,0 3 47,1.0,0.0,64
DAD,fixed,303,1,0 47 3,1.0,0.0,64
DAD,fixed,404,1,0 3 47,1.0,0.0,64
DAD,fixed,505,1,0 3 26,1.0,0.0,64
RL-sBOED,random,101,2,47 37 48,0.59375,0.40625,64
RL-sBOED,random,202,3,21 38 20,0.84375,0.15625,64
RL-sBOED,random,303,2,21 13 40,0.59375,0.40625,64
RL-sBOED,random,404,1,40 48 8,1.0,0.0,64
RL-sBOED,random,505,2,30 3 17,0.96875,0.03125,64
RL-sBOED,fixed,101,1,0 47 3,1.0,0.0,64
RL-sBOED,fixed,202,2,0 47 3,0.6875,0.3125,64
RL-sBOED,fixed,303,1,0 3 24,1.0,0.0,64
RL-sBOED,fixed,404,1,0 3 47,1.0,0.0,64
RL-sBOED,fixed,505,2,0 47 15,0.65625,0.34375,64
