split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,1,1,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,2,2,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,3,3,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,4,4,30 13 33,1.2,1.040000 1.200000 1.200000 1.200000,0.000000 0.000000 -1.200000
confirmation,5,5,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,6,6,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,7,7,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,8,8,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,9,9,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,10,10,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,11,11,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,12,12,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,13,13,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,14,14,30 12 13,0.96,1.040000 1.040000 1.040000 0.960000,0.000000 0.000000 -0.960000
confirmation,15,15,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,16,16,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,17,17,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,18,18,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,19,19,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,20,20,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,21,21,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,22,22,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,23,23,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,24,24,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,25,25,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,26,26,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,27,27,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,28,28,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,29,29,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,30,30,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,31,31,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,32,0,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,33,1,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,34,2,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,35,3,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,36,4,30 13 33,1.2,1.040000 1.200000 1.200000 1.200000,0.000000 0.000000 -1.200000
confirmation,37,5,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,38,6,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,39,7,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,40,8,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,41,9,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,42,10,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,43,11,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,44,12,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,45,13,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,46,14,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,47,15,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,48,16,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,49,17,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,50,18,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,51,19,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,52,20,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,53,21,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,54,22,30 12 13,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,55,23,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,56,24,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,57,25,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,58,26,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,59,27,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,60,28,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,61,29,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,62,30,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,63,31,30 12 13,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
