update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.02262694016098976,0.04734756797552109,0.030921075493097305,3.961766242980957,1.0,0.9866666666666667,0.05962847939999441,0.96,0.96,1.04,1.0,"[7, 23, 45]",0.6666666666666666,3,0.8239592165010823,3.9842004776000977,3.9595289131005607,3.9411615431308746
10,-0.06433776021003723,0.0013315142132341862,0.015496909618377686,3.9287219047546387,0.9733333333333336,0.98,0.052915026221291864,0.96,0.96,1.072,1.0,"[37, 22, 0]",0.4583333333333333,5,1.1972970154342812,3.9655420780181885,3.926752726236979,3.9047236243883767
20,-0.0128673380240798,0.00307882740162313,0.0035287935752421618,3.9192094802856445,1.0000000000000002,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[35, 48, 45]",1.0,1,-0.0,3.965064287185669,3.9068435033162436,3.902245750029882
30,-0.013943265192210674,0.000785397132858634,0.015471981838345528,3.854732036590576,0.9733333333333336,0.9700000000000001,0.04795831523312719,0.96,0.96,0.96,1.0,"[29, 48, 51]",0.875,2,0.37677016125643675,3.932734966278076,3.8337773283322654,3.828136622905731
40,-0.033692650496959686,0.0023266959469765425,0.021641982719302177,3.8695640563964844,0.9933333333333335,0.9866666666666667,0.07180219742846006,0.96,0.96,1.072,1.0,"[39, 48, 40]",0.625,2,0.6615632381579821,3.8855648040771484,3.902362863222758,3.8939743836720786
50,-0.04648276045918465,0.0026745384093374014,0.018081605434417725,3.8682408332824707,0.9933333333333335,0.9866666666666667,0.07180219742846006,0.96,0.96,1.072,1.0,"[39, 3, 31]",1.0,1,-0.0,3.8689322471618652,3.9123949905236564,3.873695880174637
60,-0.05110575258731842,0.001031711813993752,-0.020707063376903534,3.796297311782837,0.9733333333333336,0.9666666666666667,0.022110831935702683,0.96,0.96,0.96,1.0,"[27, 14, 45]",1.0,1,-0.0,3.865553855895996,3.824160953362783,3.7907737294832864
70,-0.03869447112083435,0.0025443637277930975,0.003386292140930891,3.782585620880127,0.9933333333333335,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[45, 27, 36]",1.0,1,-0.0,3.8484973907470703,3.733092983563741,3.7627002199490867
80,-0.0024659335613250732,0.0009886143961921334,0.03273097053170204,3.731675148010254,0.9600000000000003,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[45, 12, 3]",0.6666666666666666,2,0.6365141682948128,3.7945151329040527,3.6749876538912454,3.7123428781827292
90,-0.03579814359545708,0.0008336498867720366,0.010982017032802105,3.732741355895996,0.9733333333333336,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[3, 26, 49]",0.6666666666666666,2,0.6365141682948128,3.728614330291748,3.751686324675878,3.7966997623443604
100,-0.03467145934700966,0.002694700611755252,0.01976165920495987,3.379500389099121,0.9933333333333335,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[3, 49, 8]",0.8333333333333334,3,0.5442837329694393,3.2824769020080566,3.6078015168507895,3.6128442883491516
110,-0.04250980168581009,8.348070696229115e-05,0.01648581773042679,2.628225803375244,0.9600000000000003,0.98,0.066332495807108,0.96,0.96,0.96,1.0,"[3, 39, 48]",0.4583333333333333,3,0.9822815054843264,2.330965280532837,3.263508141040802,3.344682683547338
120,-0.012790480628609657,0.001143318135291338,0.027732858434319496,2.764946937561035,0.9866666666666669,0.9866666666666667,0.07180219742846006,0.96,0.96,1.072,1.0,"[3, 49, 39]",0.875,2,0.37677016125643675,2.4936351776123047,3.019209325313568,3.13062913219134
