epoch,bc_loss,bc_accuracy
0,3.0176375333000633,0.43173076923076925
1,1.5063679218292236,0.5855769230769231
2,0.8622876896577722,0.75
3,0.8462785096729503,0.75
4,0.8396853559157428,0.75
5,0.8244371238876792,0.75
6,0.8001319485552171,0.75
7,0.7853518689379972,0.7855769230769231
8,0.7704233428898185,1.0
9,0.7909981888883254,1.0
10,0.8022474751752966,1.0
11,0.8043181475471047,1.0
12,0.763388025410035,1.0
13,0.7739991756046519,1.0
14,0.7589307883206535,1.0
15,0.7692699467434603,1.0
16,0.7542777043931624,1.0
17,0.7721815740360933,1.0
18,0.7408608548781451,1.0
19,0.7582794533056372,1.0
20,0.7432469918447382,1.0
21,0.7125414399539723,1.0
22,0.6902751212610918,1.0
23,0.7149329290670507,1.0
24,0.6928772049791673,1.0
25,0.7014857162447536,1.0
26,0.6948846771436579,1.0
27,0.672932356595993,1.0
28,0.6590191231054419,1.0
29,0.6817382819512311,1.0
30,0.6460557702709647,1.0
31,0.6753621031256283,1.0
32,0.6541971371454351,1.0
33,0.6544463020913741,1.0
34,0.6336446649887982,1.0
35,0.626969204229467,1.0
36,0.6133916693575242,1.0
37,0.6137925772105947,1.0
38,0.5939274552990409,1.0
39,0.5941165703184464,1.0
