method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
myopic,8,264,0.96,0.0,0.96,True,0.5761592609342188,103,103,35.333333333333336,48 0 1,5.605076833 3.11946216 2.301903607
myopic,9,265,0.96,0.0,0.96,True,0.5778413070365787,103,103,35.333333333333336,48 0 1,4.738387793 6.441731819 1.509683161
myopic,10,266,0.96,0.0,0.96,True,0.5797361701261252,103,103,35.333333333333336,48 0 1,6.158121069 3.955934781 2.873053045
myopic,11,267,0.96,0.0,0.96,True,0.5774037900846452,103,103,35.333333333333336,48 0 1,4.440954232 3.440713618 1.840169008
myopic,12,268,0.96,0.0,0.96,True,0.5726643388625234,54,58,19.0,48 27 0,6.709054802 3.215383628 3.139325648
myopic,13,269,0.96,0.0,0.96,True,0.5735825460869819,103,103,35.333333333333336,48 0 1,6.43538924 5.425817308 1.671492891
myopic,14,270,0.96,0.0,0.96,True,0.5776362549513578,55,60,19.333333333333332,48 0 1,8.428571335 9.358896544 3.159099234
myopic,15,271,0.96,0.0,0.96,True,0.5747971839737147,103,103,35.333333333333336,48 0 1,4.644991285 3.655064524 1.760566638
myopic,16,272,0.96,0.0,0.96,True,0.5765298809856176,103,103,35.333333333333336,21 0 1,4.788393971 4.579311735 1.298924146
myopic,17,273,0.96,0.0,0.96,True,0.592807195847854,103,103,35.333333333333336,48 0 1,6.163544241 3.580753394 3.572228709
myopic,18,274,0.96,0.0,0.96,True,0.5795303520280868,103,103,35.333333333333336,48 0 1,7.988787565 4.907391906 1.636458483
myopic,19,275,0.96,0.0,0.96,True,0.5898566178511828,103,104,35.333333333333336,3 0 1,8.0771318 6.310382193 1.661629088
myopic,20,276,0.96,0.0,0.96,True,0.5793976380955428,103,103,35.333333333333336,48 0 1,4.561688606 3.48258696 2.057379216
myopic,21,277,0.96,0.0,0.96,True,0.5811712390277535,103,104,35.333333333333336,21 0 1,7.995207904 4.817581376 1.540822255
myopic,22,278,0.96,0.08,0.88,True,0.5828657569363713,53,62,18.666666666666668,48 0 1,8.470534467 9.733110434 3.014647542
myopic,23,279,0.96,0.0,0.96,True,0.5801847400143743,103,103,35.333333333333336,48 0 1,7.339762161 5.694472733 1.533722749
myopic,24,280,0.96,0.0,0.96,True,0.5807803480420262,103,103,35.333333333333336,48 0 1,5.416096014 11.60635475 3.18783922
myopic,25,281,0.96,0.0,0.96,True,0.5840385819319636,103,103,35.333333333333336,12 0 1,7.639728877 4.318465176 2.48657053
myopic,26,282,0.96,0.0,0.96,True,0.584335075924173,103,103,35.333333333333336,48 0 1,4.531993765 3.563448564 1.391121769
myopic,27,283,0.96,0.0,0.96,True,0.5851179400924593,51,52,18.0,48 52 0,7.026745565 0.7279581828 4.4540566
myopic,28,284,0.96,0.0,0.96,True,0.5772454808466136,103,103,35.333333333333336,48 0 1,5.70332251 4.830223589 1.627655622
myopic,29,285,0.96,0.0,0.96,True,0.5716337859630585,103,103,35.333333333333336,48 0 1,4.651545287 3.969767889 2.312338164
myopic,30,286,0.96,0.0,0.96,True,0.5860464801080525,103,103,35.333333333333336,48 0 1,4.252420482 8.604521591 2.485222316
myopic,31,287,0.96,0.0,0.96,True,0.5817254460416734,105,106,36.0,3 0 1,5.446338983 8.330361417 2.045208627
myopic,0,288,0.96,0.0,0.96,True,0.5778680590447038,103,103,35.333333333333336,48 0 1,4.227031416 4.678629774 1.206051776
myopic,1,289,0.96,0.0,0.96,True,0.5801241861190647,103,104,35.333333333333336,12 0 1,7.520388986 9.272356395 1.552934864
myopic,2,290,0.96,0.0,0.96,True,0.5815727289300412,103,103,35.333333333333336,48 0 1,7.69806941 6.628472373 2.84730329
myopic,3,291,0.96,0.0,0.96,True,0.5805740188807249,103,103,35.333333333333336,48 0 1,6.020233578 5.927769015 3.200888039
myopic,4,292,0.96,0.32,0.6399999999999999,True,0.5736690058838576,103,103,35.333333333333336,48 0 1,11.95996916 10.00724464 2.047421573
myopic,5,293,0.96,0.0,0.96,True,0.5804077568463981,103,103,35.333333333333336,48 0 1,8.167929606 4.970957212 1.939461021
myopic,6,294,0.96,0.0,0.96,True,0.57918511191383,103,103,35.333333333333336,48 0 1,4.341340321 7.542807293 4.014995573
myopic,7,295,1.12,0.0,1.12,True,0.5732741979882121,55,56,19.333333333333332,48 9 0,6.709298639 3.791970351 3.648053078
myopic,8,296,0.96,0.0,0.96,True,0.5754793821834028,103,103,35.333333333333336,48 0 1,5.489574106 3.105734336 2.216851303
myopic,9,297,0.96,0.0,0.96,True,0.5793524601031095,103,106,35.333333333333336,3 0 1,4.66988927 6.497984679 1.530159004
myopic,10,298,0.96,0.0,0.96,True,0.5755965590942651,103,103,35.333333333333336,48 0 1,6.260422138 3.976853102 2.925354794
myopic,11,299,0.96,0.0,0.96,True,0.5714794599916786,103,103,35.333333333333336,48 0 1,4.262636537 3.552478186 1.733259626
myopic,12,300,0.96,0.0,0.96,True,0.5751596600748599,101,103,34.666666666666664,21 1 0,6.906417588 2.807807886 3.1143046
