rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
820,13,2 14,1.2964327 2.304225,1.0,0.7,0.45,0.30364394095111347,0.24999999999999994,True,True,True,False
821,10,25 28,1.844417 3.6905157,1.0,0.7,0.15,0.06443291944601384,0.5499999999999999,True,True,True,False
822,14,23 29,4.9296863 3.50967,1.0,0.7,0.3,0.3000000007474913,0.39999999999999997,True,True,True,False
823,5,0 4,1.3503532 2.3474303,1.0,0.9,0.25,0.40232083958855275,0.65,True,True,True,False
824,9,20 12,1.9805283 1.2759522,1.0,0.7,0.35,0.2604612006575169,0.35,True,True,True,False
825,4,21 6,2.5435389 2.7495015,1.0,0.9,0.4,0.4363506512579183,0.5,True,True,True,False
826,15,28 26,3.6121814 1.5399567,1.0,0.6,0.2,0.06079283136546125,0.39999999999999997,True,True,True,False
827,7,1 22,3.8131395 1.569799,1.0,1.0,0.6,0.6,0.4,True,False,False,False
828,12,10 18,2.1719322 3.7103533,1.0,0.6,0.6,0.1578203817737273,0.0,True,True,True,False
829,3,10 23,1.8756346 6.9635654,1.0,0.7,0.5,0.12471711873154505,0.19999999999999996,True,True,True,False
830,14,4 29,3.0622133 3.50967,1.0,1.0,0.3,0.30705555473393903,0.7,True,False,False,False
831,8,14 15,2.5448569 1.4923602,1.0,0.9,0.1,0.30398773564473586,0.8,True,True,True,False
832,4,16 6,2.5872732 2.7495015,1.0,0.9,0.4,0.4284957160088388,0.5,True,True,True,False
833,0,29 25,4.3823537 1.9449308,1.0,0.8,0.1,0.33449994218324863,0.7000000000000001,True,True,True,False
834,5,25 11,1.7529302 1.820603,1.0,0.7,0.25,0.25024363135886435,0.44999999999999996,True,True,True,False
835,11,14 26,3.6238591 1.272602,1.0,0.5,0.1,0.10049177379364971,0.4,True,True,True,False
836,14,12 8,1.1340135 4.8154975,1.0,1.0,0.3,0.5161086253945053,0.7,True,False,False,False
837,13,7 6,1.3149995 2.8389773,1.0,0.9,0.45,0.4462609866275833,0.45,True,True,True,False
838,14,6 28,2.112034 5.3474738,1.0,0.7,0.3,0.29999999999985555,0.39999999999999997,True,True,True,False
839,6,22 10,1.4365868 1.487048,1.0,1.0,0.6,0.40785584510907924,0.4,True,False,False,False
