update,actor_loss,critic_loss
1,0.038097500801086426,0.36781027913093567
25,0.04834301024675369,0.0026558146346360445
50,0.014240330085158348,0.00131088902708143
75,0.010073168203234673,0.0014155881945043802
100,0.022565346211194992,0.0011385423131287098
125,0.02171790786087513,0.001126169110648334
150,0.03909384831786156,0.0017643399769440293
175,0.021608248353004456,0.0013938449556007981
200,0.009085902944207191,0.0010108955902978778
225,0.008191373199224472,0.0015269346768036485
250,0.005305410362780094,0.0015722374664619565
275,0.011368031613528728,0.0005363968666642904
300,0.02250189334154129,0.0011384128592908382
