update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.27046875000000004,0.27046875000000004,DAD,0.5154163837432861,64,3.359471321105957,,,,,,,,,
2,0.27375000000000005,0.27375000000000005,DAD,0.3228428363800049,128,3.3582186698913574,,,,,,,,,
3,0.27515625,0.27515625,DAD,0.3232429027557373,192,3.3575916290283203,,,,,,,,,
4,0.2596875,0.2596875,DAD,0.32248520851135254,256,3.356900930404663,,,,,,,,,
5,0.26765625000000004,0.26765625000000004,DAD,0.3247671127319336,320,3.3558802604675293,,,,,,,,,
6,0.27,0.27,DAD,0.32131361961364746,384,3.354692220687866,,,,,,,,,
7,0.27140625,0.27140625,DAD,0.3205444812774658,448,3.3527495861053467,,,,,,,,,
8,0.27,0.27,DAD,0.3209552764892578,512,3.3509440422058105,,,,,,,,,
9,0.275625,0.275625,DAD,0.32174205780029297,576,3.3485255241394043,,,,,,,,,
10,0.26859375,0.26859375,DAD,0.3209547996520996,640,3.3465514183044434,,,,,,,,,
11,0.26859374999999996,0.26859374999999996,DAD,0.320831298828125,704,3.3448233604431152,,,,,,,,,
12,0.27046875,0.27046875,DAD,0.32101988792419434,768,3.3414645195007324,,,,,,,,,
13,0.27140625,0.27140625,DAD,0.32123494148254395,832,3.339691638946533,,,,,,,,,
14,0.26671875,0.26671875,DAD,0.32090282440185547,896,3.3358078002929688,,,,,,,,,
15,0.27234375,0.27234375,DAD,0.32184576988220215,960,3.3321571350097656,,,,,,,,,
16,0.25875000000000004,0.25875000000000004,DAD,0.32050132751464844,1024,3.3272838592529297,,,,,,,,,
17,0.27515625,0.27515625,DAD,0.32184386253356934,1088,3.3229949474334717,,,,,,,,,
18,0.27046875000000004,0.27046875000000004,DAD,0.3218674659729004,1152,3.317197322845459,,,,,,,,,
19,0.26671875,0.26671875,DAD,0.32115888595581055,1216,3.3108887672424316,,,,,,,,,
20,0.26812500000000006,0.26812500000000006,DAD,0.3211183547973633,1280,3.3025827407836914,,,,,,,,,
21,0.27,0.27,DAD,0.3208732604980469,1344,3.296372175216675,,,,,,,,,
22,0.2634375,0.2634375,DAD,0.3218972682952881,1408,3.2877039909362793,,,,,,,,,
23,0.27234375,0.27234375,DAD,0.3225104808807373,1472,3.277661085128784,,,,,,,,,
24,0.26296875000000003,0.26296875000000003,DAD,0.3247201442718506,1536,3.267561674118042,,,,,,,,,
25,0.260625,0.260625,DAD,0.3230314254760742,1600,3.260082960128784,0.249609375,2,0.045688389073983635,0.015625,0.0,1,0.0,0.249609375,0
26,0.26203125000000005,0.26203125000000005,DAD,0.324171781539917,1664,3.2439355850219727,,,,,,,,,
27,0.26671875,0.26671875,DAD,0.3233659267425537,1728,3.230736494064331,,,,,,,,,
28,0.25359375,0.25359375,DAD,0.32303309440612793,1792,3.2248764038085938,,,,,,,,,
29,0.26484375,0.26484375,DAD,0.32417893409729004,1856,3.2175941467285156,,,,,,,,,
30,0.25453125,0.25453125,DAD,0.324664831161499,1920,3.1946277618408203,,,,,,,,,
31,0.26765625000000004,0.26765625000000004,DAD,0.32257866859436035,1984,3.1759119033813477,,,,,,,,,
32,0.26859374999999996,0.26859374999999996,DAD,0.3223307132720947,2048,3.160231590270996,,,,,,,,,
33,0.260625,0.260625,DAD,0.3219611644744873,2112,3.145066738128662,,,,,,,,,
34,0.25875,0.25875,DAD,0.3215827941894531,2176,3.1341552734375,,,,,,,,,
35,0.2596875,0.2596875,DAD,0.32179784774780273,2240,3.099092960357666,,,,,,,,,
36,0.26109375,0.26109375,DAD,0.3218669891357422,2304,3.081738233566284,,,,,,,,,
37,0.25828125,0.25828125,DAD,0.32193994522094727,2368,3.081653594970703,,,,,,,,,
38,0.24562499999999998,0.24562499999999998,DAD,0.3213801383972168,2432,3.050875186920166,,,,,,,,,
39,0.25875,0.25875,DAD,0.32153892517089844,2496,3.0368220806121826,,,,,,,,,
40,0.255,0.255,DAD,0.3219172954559326,2560,3.0385022163391113,,,,,,,,,
41,0.26296875,0.26296875,DAD,0.3216438293457031,2624,2.9904887676239014,,,,,,,,,
42,0.2503125,0.2565625,DAD,0.3215212821960449,2688,2.9915034770965576,,,,,,,,,
43,0.25406249999999997,0.25406249999999997,DAD,0.32158970832824707,2752,2.968862295150757,,,,,,,,,
44,0.25593750000000004,0.25593750000000004,DAD,0.32194089889526367,2816,2.8784446716308594,,,,,,,,,
45,0.25312500000000004,0.25312500000000004,DAD,0.3214223384857178,2880,2.900207042694092,,,,,,,,,
46,0.25593750000000004,0.25593750000000004,DAD,0.321272611618042,2944,2.885293960571289,,,,,,,,,
47,0.25640624999999995,0.25640624999999995,DAD,0.3215959072113037,3008,2.853243589401245,,,,,,,,,
48,0.25125,0.25125,DAD,0.32216453552246094,3072,2.8305983543395996,,,,,,,,,
49,0.24609375,0.24609375,DAD,0.3219258785247803,3136,2.851407051086426,,,,,,,,,
50,0.2578125,0.2578125,DAD,0.3222987651824951,3200,2.8339762687683105,0.249609375,1,-0.0,0.0078125,0.0,1,0.0,0.249609375,0
51,0.2625,0.2625,DAD,0.321591854095459,3264,2.765742778778076,,,,,,,,,
52,0.25125,0.25125,DAD,0.3213050365447998,3328,2.7374274730682373,,,,,,,,,
53,0.255,0.255,DAD,0.32125258445739746,3392,2.772292137145996,,,,,,,,,
54,0.24656250000000002,0.24656250000000002,DAD,0.3211674690246582,3456,2.720181941986084,,,,,,,,,
55,0.2521875,0.2521875,DAD,0.3214600086212158,3520,2.696552038192749,,,,,,,,,
56,0.25828125,0.25828125,DAD,0.32137370109558105,3584,2.7093214988708496,,,,,,,,,
57,0.2578125,0.2578125,DAD,0.3214430809020996,3648,2.684656858444214,,,,,,,,,
58,0.2503125,0.2503125,DAD,0.3216211795806885,3712,2.6599531173706055,,,,,,,,,
59,0.2521875,0.2521875,DAD,0.3215303421020508,3776,2.7149999141693115,,,,,,,,,
60,0.26156250000000003,0.26156250000000003,DAD,0.3212258815765381,3840,2.7287330627441406,,,,,,,,,
61,0.25125000000000003,0.25125000000000003,DAD,0.3215060234069824,3904,2.6834781169891357,,,,,,,,,
62,0.253125,0.253125,DAD,0.3211348056793213,3968,2.7085280418395996,,,,,,,,,
63,0.25078124999999996,0.25078124999999996,DAD,0.32131075859069824,4032,2.6893117427825928,,,,,,,,,
64,0.25078125,0.25078125,DAD,0.3212881088256836,4096,2.6716132164001465,,,,,,,,,
65,0.24328125,0.24328125,DAD,0.321718692779541,4160,2.6861157417297363,,,,,,,,,
66,0.25546875,0.25546875,DAD,0.3217456340789795,4224,2.6820812225341797,,,,,,,,,
67,0.24984374999999998,0.24984374999999998,DAD,0.3216876983642578,4288,2.684767484664917,,,,,,,,,
68,0.25171875,0.25171875,DAD,0.3211641311645508,4352,2.698942184448242,,,,,,,,,
69,0.25828125,0.25828125,DAD,0.32137441635131836,4416,2.760125160217285,,,,,,,,,
70,0.255,0.255,DAD,0.3213841915130615,4480,2.6791720390319824,,,,,,,,,
71,0.24843749999999998,0.24843749999999998,DAD,0.3213491439819336,4544,2.747565746307373,,,,,,,,,
72,0.25125,0.25125,DAD,0.321277379989624,4608,2.7080459594726562,,,,,,,,,
73,0.2578125,0.2578125,DAD,0.3212926387786865,4672,2.728886604309082,,,,,,,,,
74,0.24890625,0.24890625,DAD,0.32121729850769043,4736,2.7307472229003906,,,,,,,,,
75,0.26296875000000003,0.26296875000000003,DAD,0.321124792098999,4800,2.803727149963379,0.25171875,2,0.18920898053816695,0.015625,0.0,1,0.0,0.25171875,0
76,0.25265625,0.25265625,DAD,0.3210320472717285,4864,2.736013889312744,,,,,,,,,
77,0.2475,0.2475,DAD,0.3216969966888428,4928,2.720672130584717,,,,,,,,,
78,0.24703124999999998,0.24703124999999998,DAD,0.3210902214050293,4992,2.750216245651245,,,,,,,,,
79,0.24234375,0.24234375,DAD,0.32117366790771484,5056,2.7221484184265137,,,,,,,,,
80,0.24609375,0.24609375,DAD,0.3212287425994873,5120,2.7718162536621094,,,,,,,,,
81,0.2446875,0.2446875,DAD,0.32141947746276855,5184,2.7551636695861816,,,,,,,,,
82,0.2521875,0.2521875,DAD,0.3213779926300049,5248,2.7141904830932617,,,,,,,,,
83,0.25359375,0.25359375,DAD,0.3212006092071533,5312,2.727595090866089,,,,,,,,,
84,0.2446875,0.2446875,DAD,0.32135939598083496,5376,2.7062602043151855,,,,,,,,,
85,0.25734375,0.25734375,DAD,0.3214857578277588,5440,2.723010540008545,,,,,,,,,
86,0.25453125,0.25453125,DAD,0.32137322425842285,5504,2.687213897705078,,,,,,,,,
87,0.25078125,0.25078125,DAD,0.32126331329345703,5568,2.719679355621338,,,,,,,,,
88,0.2503125,0.2503125,DAD,0.32073307037353516,5632,2.725813627243042,,,,,,,,,
89,0.25359374999999995,0.25359374999999995,DAD,0.32129597663879395,5696,2.6957786083221436,,,,,,,,,
90,0.2521875,0.2521875,DAD,0.32129693031311035,5760,2.723592519760132,,,,,,,,,
91,0.24046874999999995,0.24671875,DAD,0.32134175300598145,5824,2.756835699081421,,,,,,,,,
92,0.25125,0.25125,DAD,0.3213980197906494,5888,2.7093043327331543,,,,,,,,,
93,0.2484375,0.2484375,DAD,0.32161426544189453,5952,2.7256455421447754,,,,,,,,,
94,0.25171875,0.25171875,DAD,0.32120656967163086,6016,2.7975783348083496,,,,,,,,,
95,0.24796875000000002,0.24796875000000002,DAD,0.32119250297546387,6080,2.7563834190368652,,,,,,,,,
96,0.25265625,0.25265625,DAD,0.32123494148254395,6144,2.7738590240478516,,,,,,,,,
97,0.25359375,0.25359375,DAD,0.32184767723083496,6208,2.7710633277893066,,,,,,,,,
98,0.255,0.255,DAD,0.3211839199066162,6272,2.8280272483825684,,,,,,,,,
99,0.25312500000000004,0.25312500000000004,DAD,0.3210561275482178,6336,2.7416446208953857,,,,,,,,,
100,0.25078125,0.25078125,DAD,0.3217439651489258,6400,2.7099626064300537,0.251953125,3,0.5772703053002768,0.0234375,0.0,1,0.0,0.251953125,0
101,0.25125,0.25125,DAD,0.3223693370819092,6464,2.7630515098571777,,,,,,,,,
102,0.24796875,0.24796875,DAD,0.3215138912200928,6528,2.8115687370300293,,,,,,,,,
103,0.25265625,0.25265625,DAD,0.32170987129211426,6592,2.795238494873047,,,,,,,,,
104,0.2521875,0.2521875,DAD,0.3216705322265625,6656,2.7464213371276855,,,,,,,,,
105,0.2428125,0.2428125,DAD,0.32184505462646484,6720,2.7397408485412598,,,,,,,,,
106,0.25171875,0.25171875,DAD,0.3210585117340088,6784,2.745218276977539,,,,,,,,,
107,0.255,0.255,DAD,0.3210747241973877,6848,2.7838571071624756,,,,,,,,,
108,0.25078125,0.25078125,DAD,0.32120776176452637,6912,2.7617976665496826,,,,,,,,,
109,0.25406249999999997,0.25406249999999997,DAD,0.3208494186401367,6976,2.7393786907196045,,,,,,,,,
110,0.2475,0.2475,DAD,0.32156991958618164,7040,2.7511816024780273,,,,,,,,,
111,0.249375,0.249375,DAD,0.3211827278137207,7104,2.691878318786621,,,,,,,,,
