epoch,bc_loss,bc_accuracy
0,3.243919448852539,0.28846153846153844
1,1.4350233316421508,0.6006410256410256
2,1.3230618739128113,0.8038461538461539
3,1.288755602836609,1.0
4,1.2745623803138733,1.0
5,1.2603143167495727,1.0
6,1.2537818408012391,1.0
7,1.22007173538208,1.0
8,1.2209084057807922,1.0
9,1.191396746635437,1.0
10,1.1770438861846924,1.0
11,1.1734254097938537,1.0
12,1.1553970885276794,1.0
13,1.1442104387283325,1.0
14,1.126020998954773,1.0
15,1.100930428504944,1.0
16,1.1002798175811768,1.0
17,1.082199068069458,1.0
18,1.0608833885192872,1.0
19,1.0562762784957886,1.0
20,1.0416445779800414,1.0
21,1.0397286415100098,1.0
22,1.0029819464683534,1.0
23,0.9976998782157898,1.0
24,0.9711058020591736,1.0
25,0.9717802095413208,1.0
26,0.960298433303833,1.0
27,0.9429091596603394,1.0
28,0.9312511157989501,1.0
29,0.908300518989563,1.0
30,0.8913663148880004,1.0
31,0.8801904273033142,1.0
32,0.8822327065467834,1.0
33,0.8571769857406616,1.0
34,0.8510365915298462,1.0
35,0.8137597846984863,1.0
36,0.8028160881996155,1.0
37,0.7917982244491577,1.0
38,0.7785862469673157,1.0
39,0.7723345947265625,1.0
