update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.12202867865562439,0.022883174940943718,0.007525337859988213,3.9571027755737305,0.9666666666666668,1.0,0.08326663997864532,0.96,0.96,1.176,1.0,"[51, 38, 24]",0.875,2,0.37677016125643675,3.9840493202209473,3.952853629986445,3.9342093467712402
10,-0.04640544205904007,0.0018915515393018723,-0.018154647201299667,3.9363245964050293,0.9866666666666669,1.0133333333333334,0.09428090415820634,0.96,0.96,1.2,1.0,"[35, 5, 49]",1.0,1,-0.0,3.963369131088257,3.938796430826187,3.917325089375178
20,-0.04807544872164726,0.0011183122405782342,0.0008473131456412375,3.8174917697906494,0.9733333333333336,0.9866666666666667,0.06798692684790379,0.96,0.96,1.04,1.0,"[5, 50, 0]",1.0,1,-0.0,3.886207103729248,3.820694476366043,3.844592193762461
30,-0.051962848752737045,0.001971063669770956,0.016348984092473984,3.762852907180786,0.9933333333333335,0.9666666666666667,0.03197221015541816,0.96,0.96,0.96,1.0,"[46, 0, 50]",1.0,1,-0.0,3.8460519313812256,3.7657423118750253,3.8149154682954154
40,-0.061915330588817596,0.0017417874187231064,0.012216289527714252,3.8609516620635986,0.9933333333333332,1.0033333333333332,0.07993052538854535,0.96,0.96,1.12,1.0,"[34, 43, 24]",1.0,1,-0.0,3.894533634185791,3.856114000082016,3.879461536804835
50,-0.07662895321846008,0.0004408582462929189,0.011072774417698383,3.7528750896453857,0.9733333333333336,0.9899999999999999,0.07234178138070237,0.96,0.96,1.096,1.0,"[34, 43, 50]",1.0,1,-0.0,3.8948850631713867,3.5208599865436554,3.8743404348691306
60,0.0067810616455972195,0.0002612135431263596,0.06413546204566956,3.585883617401123,0.9666666666666668,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[43, 3, 45]",1.0,1,-0.0,3.6369693279266357,3.548337241013845,3.680475483338038
70,-0.014761660248041153,0.0019013738492503762,0.01585042104125023,3.0514233112335205,0.9733333333333336,0.9766666666666666,0.05647024782032473,0.96,0.96,0.96,1.0,"[3, 45, 43]",1.0,1,-0.0,3.0078659057617188,3.105843424797058,3.2505658765633902
80,-0.005899363197386265,0.0012196383904665709,0.011684762313961983,3.499112129211426,0.9800000000000001,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[45, 3, 43]",1.0,1,-0.0,3.4254565238952637,3.4468191961447396,3.6606441736221313
90,-0.05024159699678421,0.001130138523876667,0.02045230008661747,3.666713237762451,0.9733333333333336,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[45, 3, 50]",0.5416666666666666,2,0.6896709283570267,3.451669216156006,3.6591548522313437,3.859819839398066
