epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_so_far_validation_u_ctrl,policy_entropy,dominant_sequence_fraction,unique_sequence_count,grad_norm,advantage_mean,advantage_std,terminal_cost_unique_count,terminal_cost_modal_fraction,fixed_validation_mean_u_ctrl
0,0.8692307692307691,0.8416666666666668,1.0,0.8416666666666668,1.7404939119632428,1.0,1,0.3988205747944968,0.09807692307692308,0.11600793178350519,5,0.38461538461538464,0.8416666666666668
1,0.8884615384615385,0.8416666666666668,1.0,0.8416666666666668,1.7061092830621278,1.0,1,0.3714470480169569,0.08653846153846152,0.10053481248159794,5,0.36538461538461536,0.8416666666666668
2,0.8865384615384614,0.8416666666666668,1.0,0.8416666666666668,1.7171717561208284,1.0,1,0.41039372767720905,0.07788461538461539,0.09115364329740493,5,0.38461538461538464,0.8416666666666668
3,0.9173076923076924,0.8416666666666668,1.0,0.8416666666666668,1.718630382647881,1.0,1,0.44484569797558443,0.06249999999999999,0.07524000061342165,4,0.4807692307692308,0.8416666666666668
4,0.9192307692307693,0.8416666666666668,1.0,0.8416666666666668,1.7079058358302484,1.0,1,0.34893272817134857,0.06826923076923076,0.08087790308298423,4,0.4230769230769231,0.8416666666666668
5,0.9346153846153846,0.8416666666666668,1.0,0.8416666666666668,1.7090820234555464,1.0,1,0.35560983632292065,0.05192307692307692,0.08024094632701947,5,0.5769230769230769,0.8416666666666668
6,0.9019230769230769,0.8416666666666668,1.0,0.8416666666666668,1.709843179354301,1.0,1,0.3807413365159716,0.07692307692307693,0.09377834877105083,5,0.4230769230769231,0.8416666666666668
7,0.8846153846153846,0.8416666666666668,1.0,0.8416666666666668,1.7237153626405275,1.0,1,0.8738178099904742,0.08653846153846154,0.0951291554310126,5,0.4230769230769231,0.8416666666666668
8,0.8961538461538459,0.8416666666666668,1.0,0.8416666666666668,1.7071206202873817,1.0,1,0.35323619842529297,0.08076923076923077,0.09714869954088531,5,0.4230769230769231,0.8416666666666668
9,0.8923076923076921,0.8416666666666668,1.0,0.8416666666666668,1.7073119695370014,1.0,1,0.37528820974486216,0.08942307692307692,0.09371424367435092,5,0.4807692307692308,0.8416666666666668
10,0.8865384615384616,0.8416666666666668,1.0,0.8416666666666668,1.705299430168592,1.0,1,0.3431063784020288,0.08846153846153845,0.10946345746736696,5,0.38461538461538464,0.8416666666666668
11,0.8769230769230769,0.8416666666666668,1.0,0.8416666666666668,1.7098474479638612,1.0,1,0.3841908403805324,0.09230769230769229,0.09526512366539105,5,0.36538461538461536,0.8416666666666668
12,0.9000000000000001,0.8416666666666668,1.0,0.8416666666666668,1.7100080205844,1.0,1,0.3526323778288705,0.07019230769230769,0.09915974649747641,5,0.46153846153846156,0.8416666666666668
13,0.8730769230769229,0.8416666666666668,1.0,0.8416666666666668,1.7187923674400036,1.0,1,0.35404340284211294,0.09134615384615381,0.11038444786907686,5,0.36538461538461536,0.8416666666666668
14,0.9038461538461537,0.8416666666666668,1.0,0.8416666666666668,1.7292875257822184,1.0,1,1.0369227145399367,0.07307692307692307,0.09274735039836535,4,0.4230769230769231,0.8416666666666668
15,0.8711538461538461,0.8416666666666668,1.0,0.8416666666666668,1.8106296681440794,1.0,1,1.4334577662604195,0.09903846153846155,0.1085261332474033,5,0.36538461538461536,0.8416666666666668
16,0.8749999999999999,0.8416666666666668,1.0,0.8416666666666668,2.002184244302603,1.0,1,2.0804455961499895,0.09230769230769229,0.09576845844606718,5,0.4230769230769231,0.8416666666666668
17,0.9096153846153846,0.8416666666666668,1.0,0.8416666666666668,1.916566768517861,1.0,1,0.9622020636286054,0.06538461538461539,0.093817776289619,5,0.4423076923076923,0.8416666666666668
18,0.8846153846153846,0.8416666666666668,1.0,0.8416666666666668,1.7967448715980237,1.0,1,0.47980886910642895,0.08653846153846152,0.09663341943385471,5,0.38461538461538464,0.8416666666666668
19,0.8903846153846154,0.8416666666666668,1.0,0.8416666666666668,1.8037442931762109,1.0,1,0.45311022656304495,0.08365384615384616,0.09792125655447392,5,0.38461538461538464,0.8416666666666668
