update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
1,0.1771875023841858,0.1771875023841858,MoE-sBOED,0.29955458641052246,64,3.3659558296203613,1.3856353759765625,0.006373029667884111,0.26161426305770874,0.11911813914775848,,,,,,,,,,,
2,0.15656250715255737,0.15656250715255737,MoE-sBOED,0.058196306228637695,128,3.3652267456054688,1.3859294652938843,0.016703838482499123,0.2570154666900635,0.11912087351083755,,,,,,,,,,,
3,0.18140625953674316,0.18140625953674316,MoE-sBOED,0.0751805305480957,192,3.3642776012420654,1.385819911956787,0.028867149725556374,0.2599495053291321,0.11921276152133942,,,,,,,,,,,
4,0.17624999582767487,0.17624999582767487,MoE-sBOED,0.05804133415222168,256,3.363144874572754,1.3856329917907715,0.04143104329705238,0.25626668334007263,0.11932860314846039,,,,,,,,,,,
5,0.18046875298023224,0.18046875298023224,MoE-sBOED,0.06851696968078613,320,3.3613219261169434,1.3847625255584717,0.05124519392848015,0.26720499992370605,0.11943750083446503,,,,,,,,,,,
6,0.1795312613248825,0.1795312613248825,MoE-sBOED,0.0612030029296875,384,3.358920097351074,1.3838313817977905,0.05635242909193039,0.27559977769851685,0.11953537166118622,,,,,,,,,,,
7,0.16875000298023224,0.16875000298023224,MoE-sBOED,0.07121920585632324,448,3.3567447662353516,1.3827236890792847,0.05891649052500725,0.2836768627166748,0.1196383684873581,,,,,,,,,,,
8,0.17109374701976776,0.17109374701976776,MoE-sBOED,0.08308959007263184,512,3.3578059673309326,1.3804054260253906,0.0594974085688591,0.2952468991279602,0.11969583481550217,,,,,,,,,,,
9,0.16312499344348907,0.16312499344348907,MoE-sBOED,0.07067346572875977,576,3.358488082885742,1.3806467056274414,0.04742942377924919,0.2922312915325165,0.11966059356927872,,,,,,,,,,,
10,0.1846875101327896,0.1846875101327896,MoE-sBOED,0.0633697509765625,640,3.3569235801696777,1.3822306394577026,0.0357678197324276,0.2775489389896393,0.11959361284971237,,,,,,,,,,,
11,0.19218750298023224,0.19218750298023224,MoE-sBOED,0.07413101196289062,704,3.3592469692230225,1.383170485496521,0.029983865097165108,0.2683236300945282,0.11951403319835663,,,,,,,,,,,
12,0.16734375059604645,0.16734375059604645,MoE-sBOED,0.06935930252075195,768,3.362565517425537,1.3820141553878784,0.03693573921918869,0.27706673741340637,0.1194225549697876,,,,,,,,,,,
13,0.17531248927116394,0.17531248927116394,MoE-sBOED,0.0796961784362793,832,3.361356258392334,1.381030559539795,0.05529728904366493,0.27987194061279297,0.11938177794218063,,,,,,,,,,,
14,0.18328125774860382,0.18328125774860382,MoE-sBOED,0.06842613220214844,896,3.3595378398895264,1.3808320760726929,0.059491634368896484,0.27776867151260376,0.11937417089939117,,,,,,,,,,,
15,0.18515625596046448,0.18515625596046448,MoE-sBOED,0.08491635322570801,960,3.3574671745300293,1.3809045553207397,0.05370299145579338,0.2706775963306427,0.11934492737054825,,,,,,,,,,,
16,0.18562500178813934,0.18562500178813934,MoE-sBOED,0.060417890548706055,1024,3.3575150966644287,1.3818615674972534,0.04472280293703079,0.26943933963775635,0.11926698684692383,,,,,,,,,,,
17,0.1795312464237213,0.1795312464237213,MoE-sBOED,0.07645940780639648,1088,3.360137462615967,1.3826570510864258,0.039198290556669235,0.2722597122192383,0.11918922513723373,,,,,,,,,,,
18,0.17906250059604645,0.17906250059604645,MoE-sBOED,0.08146214485168457,1152,3.3599400520324707,1.383061408996582,0.03514910861849785,0.2712731957435608,0.11914585530757904,,,,,,,,,,,
19,0.1743749976158142,0.1743749976158142,MoE-sBOED,0.08088397979736328,1216,3.3594799041748047,1.3835959434509277,0.030913880094885826,0.2649282217025757,0.11911890655755997,,,,,,,,,,,
20,0.17625001072883606,0.17625001072883606,MoE-sBOED,0.06179356575012207,1280,3.3573789596557617,1.3835523128509521,0.029711240902543068,0.26121091842651367,0.1191265806555748,,,,,,,,,,,
21,0.17249999940395355,0.17249999940395355,MoE-sBOED,0.0568997859954834,1344,3.3582897186279297,1.3827362060546875,0.030353643000125885,0.2631920874118805,0.11916378140449524,,,,,,,,,,,
22,0.1589062511920929,0.1589062511920929,MoE-sBOED,0.06887412071228027,1408,3.357774496078491,1.3806817531585693,0.03238391876220703,0.27027544379234314,0.11920672655105591,,,,,,,,,,,
23,0.19171875715255737,0.19171875715255737,MoE-sBOED,0.04913592338562012,1472,3.3569374084472656,1.3768112659454346,0.036258865147829056,0.2820418179035187,0.11923462152481079,,,,,,,,,,,
24,0.18046875298023224,0.18046875298023224,MoE-sBOED,0.05013275146484375,1536,3.3556251525878906,1.3710565567016602,0.04052435979247093,0.29753002524375916,0.11926522105932236,,,,,,,,,,,
25,0.17859375476837158,0.17859375476837158,MoE-sBOED,0.04921984672546387,1600,3.3504109382629395,1.3579442501068115,0.044638920575380325,0.32332944869995117,0.11932622641324997,0.1725,0.19140625,2,0.40609642111261135,0.015625,0.1796875,0,0.01171875,1101.48828125,0,required
26,0.16453126072883606,0.16453126072883606,MoE-sBOED,0.04639577865600586,1664,3.3413023948669434,1.3275507688522339,0.04248958081007004,0.36237120628356934,0.11942621320486069,,,,,,,,,,,
27,0.1771875023841858,0.1771875023841858,MoE-sBOED,0.04763984680175781,1728,3.3312487602233887,1.3096959590911865,0.03488396853208542,0.37570351362228394,0.11944625526666641,,,,,,,,,,,
28,0.18562501668930054,0.18562501668930054,MoE-sBOED,0.049086809158325195,1792,3.3378303050994873,1.3265931606292725,0.029476067051291466,0.34294962882995605,0.11938735097646713,,,,,,,,,,,
29,0.15984375774860382,0.15984375774860382,MoE-sBOED,0.04931330680847168,1856,3.344381093978882,1.343454360961914,0.02631659060716629,0.3113324046134949,0.11929450184106827,,,,,,,,,,,
30,0.17625001072883606,0.17625001072883606,MoE-sBOED,0.04967474937438965,1920,3.348376989364624,1.355060338973999,0.021996865049004555,0.2899973392486572,0.11921486258506775,,,,,,,,,,,
31,0.16875000298023224,0.16875000298023224,MoE-sBOED,0.04955601692199707,1984,3.350666046142578,1.3616212606430054,0.019150618463754654,0.2820056974887848,0.11918457597494125,,,,,,,,,,,
32,0.16453124582767487,0.16453124582767487,MoE-sBOED,0.04886054992675781,2048,3.3517777919769287,1.3658369779586792,0.018424835056066513,0.272074431180954,0.11915882676839828,,,,,,,,,,,
33,0.18515624105930328,0.18515624105930328,MoE-sBOED,0.04853057861328125,2112,3.3535573482513428,1.370659351348877,0.018093865364789963,0.26029902696609497,0.11911731213331223,,,,,,,,,,,
34,0.1875,0.1875,MoE-sBOED,0.049651145935058594,2176,3.3556714057922363,1.3746150732040405,0.01757321134209633,0.26275599002838135,0.11906008422374725,,,,,,,,,,,
35,0.17859375476837158,0.17859375476837158,MoE-sBOED,0.049883365631103516,2240,3.35587739944458,1.3768131732940674,0.017681846395134926,0.263746976852417,0.11905113607645035,,,,,,,,,,,
36,0.17531250417232513,0.17531250417232513,MoE-sBOED,0.05029892921447754,2304,3.3545470237731934,1.3780107498168945,0.019896531477570534,0.26520541310310364,0.11905933171510696,,,,,,,,,,,
