T,method,mean_u_ctrl,safety_rate,mean_excess_control,runtime,paired_diff_vs_random,paired_diff_vs_fixed,paired_diff_vs_myopic
2,dad,0.9688800000000003,1.0,0.9561600000000003,0.10373325719637796,-0.02632000000000001,0.0031199999999999956,0.002159999999999995
2,myopic,0.9667200000000004,1.0,0.9540000000000003,0.4295053581991233,-0.028480000000000005,0.0009600000000000009,0.0
2,fixed,0.9657600000000003,1.0,0.9530400000000003,0.10150869260681793,-0.029440000000000004,0.0,
2,random,0.9952000000000003,1.0,0.9824800000000002,0.10115518288267776,0.0,,
3,dad,0.9697600000000003,1.0,0.9570400000000004,0.10542648044321686,-0.013280000000000009,0.008,0.003599999999999996
3,myopic,0.9661600000000004,1.0,0.9534400000000004,0.5963829814761411,-0.016880000000000003,0.004400000000000004,0.0
3,fixed,0.9617600000000004,1.0,0.9490400000000003,0.10227266684663482,-0.021280000000000007,0.0,
3,random,0.9830400000000001,1.0,0.9703200000000002,0.10230921367160045,0.0,,
