epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_so_far_validation_u_ctrl,policy_entropy,dominant_sequence_fraction,unique_sequence_count,grad_norm,advantage_mean,advantage_std,terminal_cost_unique_count,terminal_cost_modal_fraction,fixed_validation_mean_u_ctrl
0,0.8692307692307691,0.8416666666666668,1.0,0.8416666666666668,1.7571988839369554,1.0,1,1.0018543601036072,-0.8838178093616779,0.13295807522453,5,0.38461538461538464,0.8416666666666668
1,0.8903846153846154,0.8416666666666668,1.0,0.8416666666666668,1.7734052309623132,1.0,1,1.0933783394949776,-0.8980712429835247,0.11647078562535311,5,0.38461538461538464,0.8416666666666668
2,0.8826923076923077,0.8416666666666668,1.0,0.8416666666666668,1.9750107251680815,1.0,1,1.5024834360395158,-0.8835729815603162,0.12557156999190486,5,0.38461538461538464,0.8416666666666668
3,0.9153846153846155,0.8416666666666668,1.0,0.8416666666666668,2.185777173592494,1.0,1,1.6795083114079066,-0.9099463462328109,0.09650258949876736,4,0.4807692307692308,0.8416666666666668
4,0.9192307692307692,0.8416666666666668,1.0,0.8416666666666668,2.3610962560543647,1.0,1,1.6584601742880685,-0.9078733614287697,0.0875982324758611,5,0.4230769230769231,0.8416666666666668
5,0.9346153846153845,0.8416666666666668,1.0,0.8416666666666668,2.7450624039539924,1.0,1,1.8489665303911482,-0.9174348367807956,0.08067640758548496,4,0.5192307692307693,0.8416666666666668
6,0.898076923076923,0.8416666666666668,1.0,0.8416666666666668,2.864019967042483,1.0,1,1.6853658642087663,-0.8751307238179903,0.10463372114166154,5,0.40384615384615385,0.8416666666666668
7,0.8634615384615384,0.8416666666666668,1.0,0.8416666666666668,2.9281749175145078,1.0,1,1.5899302448545183,-0.8347402606446009,0.13315143122750622,5,0.36538461538461536,0.8416666666666668
8,0.8730769230769229,0.8416666666666668,1.0,0.8416666666666668,2.795405919735248,1.0,1,1.625922782080514,-0.838573198364331,0.13154643462751703,5,0.38461538461538464,0.8416666666666668
9,0.9076923076923078,0.8416666666666668,1.0,0.8416666666666668,2.8834788157389712,1.0,1,1.805777839251927,-0.8673567607998849,0.09368204424275885,5,0.5,0.8416666666666668
10,0.9038461538461539,0.8416666666666668,1.0,0.8416666666666668,2.83496309702213,1.0,1,1.7955715145383562,-0.8576601422750033,0.10723623125767195,5,0.4230769230769231,0.8416666666666668
11,0.8846153846153846,0.8416666666666668,1.0,0.8416666666666668,2.894755129630749,1.0,1,1.5674036570957728,-0.832643332103124,0.1130119061397065,5,0.36538461538461536,0.8416666666666668
12,0.9000000000000001,0.8416666666666668,1.0,0.8416666666666668,2.9536875623923082,1.0,1,1.6432000058037894,-0.8420383331867366,0.12243072350516183,5,0.4423076923076923,0.8416666666666668
13,0.851923076923077,0.8416666666666668,1.0,0.8416666666666668,3.022903236059042,1.0,1,1.447561229978289,-0.787822195314444,0.13635745239740285,5,0.3076923076923077,0.8416666666666668
14,0.9038461538461539,0.8416666666666668,1.0,0.8416666666666668,3.033853980211111,1.0,1,1.5437667199543543,-0.8335111313141309,0.09416244016491028,4,0.5192307692307693,0.8416666666666668
15,0.875,0.8416666666666668,1.0,0.8416666666666668,3.06294047832489,1.0,1,1.6421372379575456,-0.7983836394089919,0.13641350296855773,5,0.40384615384615385,0.8416666666666668
16,0.8499999999999999,0.8416666666666668,1.0,0.8416666666666668,3.044175794491401,1.0,1,1.3634737900325231,-0.7671132863714144,0.12615381438366152,5,0.36538461538461536,0.8416666666666668
17,0.8826923076923077,0.8416666666666668,1.0,0.8416666666666668,3.0392495485452504,1.0,1,1.4760727712086268,-0.7933633979696494,0.13134067145837985,5,0.38461538461538464,0.8416666666666668
18,0.9076923076923078,0.8416666666666668,1.0,0.8416666666666668,3.0007644524941077,1.0,1,1.7546700409480505,-0.8119030201664338,0.10682735311604573,5,0.4230769230769231,0.8416666666666668
19,0.8980769230769231,0.8416666666666668,1.0,0.8416666666666668,2.9599183889535756,1.0,1,1.484056489808219,-0.7960014087649493,0.12633785308214374,5,0.46153846153846156,0.8416666666666668
