update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee5_full,48,144,48,-0.9850972201174518,0.15853486042510906,0.022486133500933647,-0.09208337217569351,3.356517791748047,-0.0005890544853173196,0.1805555522441864,0.24067914485931396,0.6168115735054016,0.8708333333333332,3.3901455402374268,3.354771614074707,3.32114315032959,0.85,0.1118033988749895,0.8500000000000001,0.7,1.0,1.0,"[19, 25, 5]",0.5833333333333334,2,0.6791932659915256,3.3902032375335693,3.351247171560923,3.319102724393209,2,1,2,0.0,0.6791932659915256,0.6791932659915256,observation-dependent adaptive,5,True,0.85
2,ieee5_full,48,144,96,0.013538173339366903,0.1616774007162965,0.006972522474825382,-0.055871665477752686,3.350559949874878,0.021171214058995247,0.0069444444961845875,0.37435847520828247,0.08024097979068756,0.8625000000000002,3.3852579593658447,3.3491880893707275,3.313203811645508,,,,,,,,,,,,,,,,,,,,,,,
3,ieee5_full,48,144,144,0.02885666232784588,0.1507703455580312,0.009410923346877098,-0.04071752727031708,3.3445377349853516,-0.005210608243942261,0.013888888992369175,0.3543699085712433,0.06635581701993942,0.8583333333333333,3.3761823177337646,3.345963716506958,3.3078250885009766,,,,,,,,,,,,,,,,,,,,,,,
4,ieee5_full,48,144,192,0.014797323098513813,0.11692140992111014,0.008131574839353561,-0.027369949966669083,3.3400027751922607,-0.0006219811039045453,0.0,0.3423812985420227,0.13853061199188232,0.8250000000000001,3.3683698177337646,3.342381715774536,3.3068478107452393,,,,,,,,,,,,,,,,,,,,,,,
5,ieee5_full,48,144,240,-0.029794674494995017,0.13419692394726696,0.008523320779204369,-0.0360257513821125,3.336974859237671,-0.002655146876350045,0.0,0.4073382019996643,0.13734394311904907,0.8395833333333332,3.360625982284546,3.34104323387146,3.3071908950805664,,,,,,,,,,,,,,,,,,,,,,,
6,ieee5_full,48,144,288,0.013393727354904007,0.10920787842672741,0.006021192763000727,-0.02714722417294979,3.3331189155578613,0.009978953748941422,0.0,0.3995017409324646,0.07576805353164673,0.8604166666666666,3.3498802185058594,3.3405778408050537,3.3059141635894775,,,,,,,,,,,,,,,,,,,,,,,
7,ieee5_full,48,144,336,-0.015961837391522207,0.10857741496516299,0.005796370562165976,-0.03527791053056717,3.32867169380188,-0.007267637178301811,0.0555555559694767,0.3746764361858368,0.06829455494880676,0.8604166666666666,3.3446578979492188,3.3359134197235107,3.301319122314453,,,,,,,,,,,,,,,,,,,,,,,
8,ieee5_full,48,144,384,0.005919411706692638,0.11057219958592976,0.006007618736475706,-0.0344206765294075,3.3192663192749023,0.008824022486805916,0.02083333395421505,0.48587074875831604,0.032317452132701874,0.8624999999999999,3.3427324295043945,3.319687843322754,3.291227340698242,,,,,,,,,,,,,,,,,,,,,,,
9,ieee5_full,48,144,432,-0.008464397921529096,0.0842117757659906,0.0035382669884711504,-0.03711850941181183,3.312715768814087,0.013533973135054111,0.0069444444961845875,0.4455046057701111,0.03366302698850632,0.8895833333333334,3.334541082382202,3.312560796737671,3.285722494125366,,,,,,,,,,,,,,,,,,,,,,,
10,ieee5_full,48,144,480,0.008833353542453697,0.08125976870308166,0.0031907684169709682,-0.022510787472128868,3.3002936840057373,0.010314423590898514,0.013888888992369175,0.373336523771286,0.03571493178606033,0.8854166666666666,3.3170244693756104,3.301725387573242,3.2710037231445312,0.8916666666666666,0.11873172373979174,0.9,0.7,1.0,1.0,"[6, 26, 16]",1.0,1,-0.0,3.3172903060913086,3.305458347002665,3.301024397214254,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.85
