epoch,grad_norm
0,0.021415293861467104
1,0.067867681885568
2,0.05907139461487532
3,0.06661492915680775
4,0.04291094782260748
5,0.08792326434587057
6,0.08867959964733857
7,0.08686580408651096
8,0.09287973801390483
9,0.14453048445284367
10,0.11939927563071251
11,0.07429375957984191
12,0.18126659840345383
13,0.12518113622298607
14,0.15126376025951827
15,0.12931500633175558
16,0.07861849114012259
17,0.07694898101572807
18,0.054047313088981
19,0.06497781917166251
20,0.04212598595768213
21,0.06378249730914831
22,0.059840712087372176
23,0.06969696254684375
24,0.04953729192941235
25,0.06098937221731131
26,0.060563497782613225
27,0.0631655863701151
28,0.05652162321628286
29,0.07118653663649009
