method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
random,2,98,0.9,0.3,0.6000000000000001,True,0.00016542617231607437,0,0,nan,25 12 24,1.46690964 2.017092929 4.555651011
random,3,99,1.0,0.5,0.5,True,0.00016646506264805794,0,0,nan,24 9 1,4.874809192 4.445351841 3.530463291
random,4,100,0.6,0.4,0.19999999999999996,True,0.00016622315160930157,0,0,nan,10 4 24,1.203992732 2.064373379 2.199398027
random,5,101,0.9,0.25,0.65,True,0.0001622301060706377,0,0,nan,1 18 3,2.066623005 6.640663018 6.229576058
random,6,102,1.0,0.6,0.4,True,0.0001652620267122984,0,0,nan,7 26 14,1.371470484 2.704787494 2.943347114
random,7,103,0.8,0.6,0.20000000000000007,True,0.00016245804727077484,0,0,nan,25 27 2,1.549602519 1.844116416 1.317332349
random,8,104,0.8,0.1,0.7000000000000001,True,0.0001603378914296627,0,0,nan,24 1 21,2.811050935 1.712262899 1.551373957
random,9,105,0.8,0.35,0.45000000000000007,True,0.00016663409769535065,0,0,nan,0 23 20,1.513493182 7.520883804 1.974681123
random,10,106,0.9,0.15,0.75,True,0.0001572989858686924,0,0,nan,29 4 19,5.185748589 4.415240263 4.823108533
random,11,107,0.7,0.1,0.6,True,0.0001574528869241476,0,0,nan,3 1 16,3.116942562 1.648021351 1.403146891
random,12,108,0.9,0.6,0.30000000000000004,True,0.00015828083269298077,0,0,nan,9 20 12,2.401774102 2.293387024 1.31004337
random,13,109,1.0,0.45,0.55,True,0.00015559815801680088,0,0,nan,12 26 9,1.283371382 2.204110967 2.105595331
random,14,110,0.9,0.3,0.6000000000000001,True,0.000158804003149271,0,0,nan,19 26 1,3.354310058 1.776641566 2.282032979
random,15,111,1.0,0.2,0.8,True,0.00015896186232566833,0,0,nan,12 8 20,1.022180121 3.45505308 3.328679055
random,0,112,0.9,0.1,0.8,True,0.00015183701179921627,0,0,nan,14 23 11,3.988329763 3.297906696 1.556000319
random,1,113,0.9,0.1,0.8,True,0.0001570379827171564,0,0,nan,22 1 19,2.154273572 1.778932696 6.996825167
random,2,114,0.8,0.3,0.5,True,0.00015466217882931232,0,0,nan,6 10 9,2.112392694 1.350691559 4.188867704
random,3,115,1.0,0.5,0.5,True,0.0001552300527691841,0,0,nan,1 22 12,3.51084544 1.92833272 1.817549595
random,4,116,0.9,0.4,0.5,True,0.00016072997823357582,0,0,nan,19 3 17,2.117071157 2.849223295 1.530198266
random,5,117,0.9,0.25,0.65,True,0.00015723705291748047,0,0,nan,16 15 17,1.88718963 1.543559056 2.389405278
random,6,118,1.0,0.6,0.4,True,0.00015857978723943233,0,0,nan,26 19 13,2.656430979 3.065737931 3.488930213
random,7,119,1.0,0.6,0.4,True,0.00016055116429924965,0,0,nan,21 19 1,3.195305411 6.354818187 3.867879209
random,8,120,0.9,0.1,0.8,True,0.00015817885287106037,0,0,nan,17 26 9,1.591955782 1.467812742 2.514076452
random,9,121,0.8,0.35,0.45000000000000007,True,0.00015810690820217133,0,0,nan,1 0 5,1.986223152 1.748819928 1.781208291
random,10,122,0.6,0.15,0.44999999999999996,True,0.00016708881594240665,0,0,nan,13 28 6,3.410583935 3.724575223 1.572427914
random,11,123,0.8,0.1,0.7000000000000001,True,0.00016303686425089836,0,0,nan,23 25 5,3.557978334 3.622223785 2.839106292
random,12,124,1.0,0.6,0.4,True,0.00016303197480738163,0,0,nan,19 6 21,2.607439266 3.636651196 2.946780186
random,13,125,1.0,0.45,0.55,True,0.0001698499545454979,0,0,nan,5 13 8,1.974372906 3.591191578 3.313743112
random,14,126,0.9,0.3,0.6000000000000001,True,0.00017107301391661167,0,0,nan,25 2 16,3.334512813 1.046804452 2.068712512
random,15,127,0.7,0.2,0.49999999999999994,True,0.00016479380428791046,0,0,nan,0 1 11,2.756284329 1.84858849 1.749541473
random,0,128,0.9,0.1,0.8,True,0.00015336810611188412,0,0,nan,24 21 13,4.215000151 1.369612244 3.096394592
random,1,129,0.8,0.1,0.7000000000000001,True,0.00015374692156910896,0,0,nan,6 10 16,1.961934866 2.139652174 1.754280058
random,2,130,0.8,0.3,0.5,True,0.00015890994109213352,0,0,nan,5 27 18,1.404137087 2.235480526 3.65935692
random,3,131,1.0,0.5,0.5,True,0.00015588197857141495,0,0,nan,7 15 11,1.813117324 2.082934991 3.223090469
random,4,132,0.9,0.4,0.5,True,0.00016075698658823967,0,0,nan,25 29 4,1.438464417 2.394598158 2.115045559
random,5,133,0.9,0.25,0.65,True,0.00017082598060369492,0,0,nan,24 10 19,2.355103017 1.223845935 2.22743283
random,6,134,1.0,0.6,0.4,True,0.00016979500651359558,0,0,nan,0 7 20,1.37250151 1.32117146 1.692323947
random,7,135,1.0,0.6,0.4,True,0.00017262296751141548,0,0,nan,13 26 4,4.731982296 2.761551038 5.972930842
random,8,136,0.7,0.1,0.6,True,0.0001744651235640049,0,0,nan,26 12 6,1.407039556 1.524777241 1.671455563
random,9,137,0.9,0.35,0.55,True,0.0001731209922581911,0,0,nan,16 20 22,2.186049806 1.841677408 1.560657442
random,10,138,1.0,0.15,0.85,True,0.0001703379675745964,0,0,nan,15 4 23,1.503580515 4.497682109 3.599080609
random,11,139,0.9,0.1,0.8,True,0.0001630638726055622,0,0,nan,25 21 9,3.548117323 1.357520732 3.465730441
random,12,140,1.0,0.6,0.4,True,0.00017052190378308296,0,0,nan,28 25 2,3.950479928 2.420780736 1.170422945
random,13,141,1.0,0.45,0.55,True,0.00016783899627625942,0,0,nan,12 27 17,1.145631516 1.60067115 1.378801281
random,14,142,1.0,0.3,0.7,True,0.00016174395568668842,0,0,nan,3 8 12,4.76155249 4.806705082 1.023155768
random,15,143,0.9,0.2,0.7,True,0.00016020704060792923,0,0,nan,22 1 15,1.105868362 1.682797117 3.136193672
random,0,144,0.9,0.1,0.8,True,0.00016843806952238083,0,0,nan,20 0 24,1.749039984 1.588081826 4.037870894
random,1,145,0.9,0.1,0.8,True,0.0001554011832922697,0,0,nan,17 18 6,1.892222366 4.604171707 1.693789647
