system,particle_count,support_seed,history_id,history_step,optimal_bus,optimal_amplitude,optimal_design,reference_optimal_design,design_agreement,bus_agreement,amplitude_agreement,reference_regret,J_star_snapped,J_star_continuous
ieee5,2048,101,-1,0,1,0.05,1,,,,,nan,0.9,0.9015625
ieee5,1024,101,-1,0,1,0.15,16,1,False,True,False,0.009375000000000022,0.928125,0.9375
ieee5,512,101,-1,0,1,0.05,1,1,True,True,True,0.0,0.909375,0.9171875
ieee5,256,101,-1,0,1,0.05,1,1,True,True,True,0.0,0.9187500000000001,0.928125
ieee5,128,101,-1,0,1,0.15,16,1,False,True,False,0.009375000000000022,0.9,0.90625
ieee5,2048,101,0,0,1,0.05,1,,,,,nan,0.925,0.93125
ieee5,1024,101,0,0,1,0.05,1,1,True,True,True,0.0,0.903125,0.8859375
ieee5,512,101,0,0,1,0.05,1,1,True,True,True,0.0,0.86875,0.8500000000000001
ieee5,256,101,0,0,1,0.05,1,1,True,True,True,0.0,0.8875000000000001,0.8656250000000001
ieee5,128,101,0,0,1,0.05,1,1,True,True,True,0.0,0.896875,0.8984375
ieee5,2048,101,0,1,1,0.05,1,,,,,nan,0.896875,0.884375
ieee5,1024,101,0,1,1,0.05,1,1,True,True,True,0.0,0.896875,0.8796875
ieee5,512,101,0,1,1,0.05,1,1,True,True,True,0.0,0.9125,0.8968750000000001
ieee5,256,101,0,1,1,0.05,1,1,True,True,True,0.0,0.875,0.8578125000000001
ieee5,128,101,0,1,1,0.15,16,1,False,True,False,0.0031249999999999334,0.9,0.9109375000000001
ieee5,2048,101,0,0,1,0.05,1,,,,,nan,0.925,0.93125
ieee5,1024,101,0,0,1,0.05,1,1,True,True,True,0.0,0.903125,0.8859375
ieee5,512,101,0,0,1,0.05,1,1,True,True,True,0.0,0.86875,0.8500000000000001
ieee5,256,101,0,0,1,0.05,1,1,True,True,True,0.0,0.8875000000000001,0.8656250000000001
ieee5,128,101,0,0,1,0.05,1,1,True,True,True,0.0,0.896875,0.8984375
ieee5,2048,101,0,1,3,0.05,3,,,,,nan,0.890625,0.8703125
ieee5,1024,101,0,1,3,0.15,18,3,False,True,False,0.0,0.8875000000000001,0.8625
ieee5,512,101,0,1,3,0.05,3,3,True,True,True,0.0,0.890625,0.8625
ieee5,256,101,0,1,3,0.05,3,3,True,True,True,0.0,0.878125,0.84375
ieee5,128,101,0,1,4,0.05,4,3,False,False,True,0.009375000000000022,0.859375,0.8390625
ieee5,2048,101,0,0,1,0.05,1,,,,,nan,0.925,0.93125
ieee5,1024,101,0,0,1,0.05,1,1,True,True,True,0.0,0.903125,0.8859375
ieee5,512,101,0,0,1,0.05,1,1,True,True,True,0.0,0.86875,0.8500000000000001
ieee5,256,101,0,0,1,0.05,1,1,True,True,True,0.0,0.8875000000000001,0.8656250000000001
ieee5,128,101,0,0,1,0.05,1,1,True,True,True,0.0,0.896875,0.8984375
ieee5,2048,101,0,1,1,0.05,1,,,,,nan,0.98125,1.0671875
ieee5,1024,101,0,1,1,0.05,1,1,True,True,True,0.0,0.978125,1.0359375
ieee5,512,101,0,1,1,0.05,1,1,True,True,True,0.0,0.978125,0.9890625
ieee5,256,101,0,1,1,0.05,1,1,True,True,True,0.0,0.953125,0.9625
ieee5,128,101,0,1,4,0.3,29,1,False,False,False,0.018750000000000044,0.96875,0.921875
ieee5,2048,101,0,0,1,0.05,1,,,,,nan,0.925,0.93125
ieee5,1024,101,0,0,1,0.05,1,1,True,True,True,0.0,0.903125,0.8859375
ieee5,512,101,0,0,1,0.05,1,1,True,True,True,0.0,0.86875,0.8500000000000001
ieee5,256,101,0,0,1,0.05,1,1,True,True,True,0.0,0.8875000000000001,0.8656250000000001
ieee5,128,101,0,0,1,0.05,1,1,True,True,True,0.0,0.896875,0.8984375
ieee5,2048,101,0,1,1,0.05,1,,,,,nan,0.890625,0.8656250000000001
ieee5,1024,101,0,1,1,0.05,1,1,True,True,True,0.0,0.9375,0.9359375000000001
ieee5,512,101,0,1,1,0.15,16,1,False,True,False,0.0031249999999999334,0.915625,0.9
ieee5,256,101,0,1,1,0.05,1,1,True,True,True,0.0,0.953125,0.9593750000000001
ieee5,128,101,0,1,1,0.05,1,1,True,True,True,0.0,0.95,0.94375
ieee5,2048,101,0,0,1,0.05,1,,,,,nan,0.925,0.93125
ieee5,1024,101,0,0,1,0.05,1,1,True,True,True,0.0,0.903125,0.8859375
ieee5,512,101,0,0,1,0.05,1,1,True,True,True,0.0,0.86875,0.8500000000000001
ieee5,256,101,0,0,1,0.05,1,1,True,True,True,0.0,0.8875000000000001,0.8656250000000001
ieee5,128,101,0,0,1,0.05,1,1,True,True,True,0.0,0.896875,0.8984375
ieee5,2048,101,0,1,1,0.05,1,,,,,nan,0.8875,0.859375
ieee5,1024,101,0,1,1,0.15,16,1,False,True,False,0.0,0.9312499999999999,0.9234375
ieee5,512,101,0,1,1,0.05,1,1,True,True,True,0.0,0.903125,0.9125
ieee5,256,101,0,1,1,0.05,1,1,True,True,True,0.0,0.9125000000000001,0.9125
