system,particle_count,support_seed,history_id,history_step,theta_id,selection_rule,ESS,normalized_ESS,max_weight,top1_mass,top5_mass,top10_mass,posterior_entropy,n_nonnegligible,weight_threshold,degeneracy_flag,u_cont,u_ctrl,u_quantile
ieee5,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.15,1.0,0.6
ieee5,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.15,1.0,0.6
ieee5,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.15,1.0,0.6
ieee5,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.15,1.0,0.6
ieee5,128,101,0,0,0,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.15,1.0,0.6
ieee5,2048,101,0,1,0,"permute(master,101)[:2048]",266.3831988183029,0.13006992129799946,0.005294109943583918,0.005294109943583918,0.02646897378014264,0.052920120803619575,5.751881026455807,652,1e-06,moderate_degeneracy,0.9,0.9,0.35
ieee5,1024,101,0,1,0,"permute(master,101)[:1024]",135.113052587864,0.13194634041783593,0.010439549387727948,0.010439549387727948,0.052160898507120704,0.10409803779416443,5.067858633630734,344,1e-06,moderate_degeneracy,0.9,0.9,0.35
ieee5,512,101,0,1,0,"permute(master,101)[:512]",66.93338633181448,0.13072927017932515,0.021601922673624655,0.021601922673624655,0.10774805977709878,0.21273338949001505,4.378004035914444,181,1e-06,moderate_degeneracy,0.9,0.9,0.35
ieee5,256,101,0,1,0,"permute(master,101)[:256]",34.92535796016759,0.13642717953190464,0.043313366447269616,0.043313366447269616,0.2115700220291597,0.4068573810093225,3.718590228977397,89,1e-06,moderate_degeneracy,0.9,0.9,0.35
ieee5,128,101,0,1,0,"permute(master,101)[:128]",17.62256117569909,0.13767625918514914,0.09066215204300335,0.09066215204300335,0.40586895675582946,0.6763745074751969,3.0401454838600475,46,1e-06,moderate_degeneracy,0.9,0.9,0.35
ieee5,2048,101,0,2,0,"permute(master,101)[:2048]",69.35091541231984,0.033862751666171795,0.031220195286034844,0.031220195286034844,0.1375486999985062,0.2552333242386892,4.56572411234206,314,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,1024,101,0,2,0,"permute(master,101)[:1024]",35.4787549830207,0.03464722166310615,0.05740645631638437,0.05740645631638437,0.24540487640788441,0.4336003928855525,3.880757833474012,166,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,512,101,0,2,0,"permute(master,101)[:512]",16.94585920369955,0.03309738125722568,0.09957575226362471,0.09957575226362471,0.452089769685822,0.6960233655847414,3.147562767244131,91,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,256,101,0,2,0,"permute(master,101)[:256]",7.641145619805091,0.029848225077363635,0.24280327423222833,0.24280327423222833,0.714951587137361,0.9216176942878551,2.3542300610062243,41,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,128,101,0,2,0,"permute(master,101)[:128]",4.664355837317061,0.036440279979039536,0.36548148617271753,0.36548148617271753,0.886427612410839,0.9900868847857318,1.8359142793479895,20,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,2048,101,0,3,0,"permute(master,101)[:2048]",6.95450887685016,0.0033957562875244923,0.26687720442919866,0.26687720442919866,0.7254309611066245,0.915973178053226,2.3689366785615915,102,1e-06,severe_degeneracy,0.8500000000000001,0.9,0.3
ieee5,1024,101,0,3,0,"permute(master,101)[:1024]",4.096156093533128,0.004000152435090945,0.41758016171829093,0.41758016171829093,0.8805103374142109,0.9481390449858837,1.886985884841178,62,1e-06,severe_degeneracy,0.8500000000000001,0.9,0.3
ieee5,512,101,0,3,0,"permute(master,101)[:512]",2.3411499590171734,0.004572558513705417,0.6350941550347914,0.6350941550347914,0.9128506454925198,0.981756200766394,1.4037583556857265,33,1e-06,severe_degeneracy,0.8500000000000001,0.9,0.3
ieee5,256,101,0,3,0,"permute(master,101)[:256]",2.8513707212069783,0.011138166879714759,0.5232851681367996,0.5232851681367996,0.9919859561650829,0.9999666017970635,1.2839389755453425,13,1e-06,severe_degeneracy,0.8500000000000001,0.9,0.3
ieee5,128,101,0,3,0,"permute(master,101)[:128]",1.3192507259500121,0.01030664629648447,0.8638595496951988,0.8638595496951988,0.9998963021511195,0.999998583091402,0.4898312733581591,11,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.15,1.0,0.6
ieee5,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.15,1.0,0.6
ieee5,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.15,1.0,0.6
ieee5,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.15,1.0,0.6
ieee5,128,101,0,0,0,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.15,1.0,0.6
ieee5,2048,101,0,1,0,"permute(master,101)[:2048]",40.51408302011775,0.01978226709966687,0.07497483539447801,0.07497483539447801,0.26846199070280696,0.4050004220436358,4.340305240480176,390,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,1024,101,0,1,0,"permute(master,101)[:1024]",23.603353610842543,0.02305015001058842,0.11769168873680538,0.11769168873680538,0.3712286532911311,0.5562481832903078,3.6899169011700783,211,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,512,101,0,1,0,"permute(master,101)[:512]",16.28899292787089,0.03181443931224783,0.1377885802062639,0.1377885802062639,0.4838354652411253,0.6623847901349098,3.2562889338443464,114,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,256,101,0,1,0,"permute(master,101)[:256]",10.410458897935976,0.04066585507006241,0.20716017386705754,0.20716017386705754,0.6015983373560734,0.7909085200753445,2.751975930352789,63,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,128,101,0,1,0,"permute(master,101)[:128]",6.316786428971022,0.04934989397633611,0.26617644940985213,0.26617644940985213,0.7910789932232674,0.9702911457992648,2.1055180664405486,30,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,2048,101,0,2,0,"permute(master,101)[:2048]",18.11471472539447,0.008845075549509019,0.10786278303251438,0.10786278303251438,0.4591073227384029,0.6670423263412865,3.420125192788296,191,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,1024,101,0,2,0,"permute(master,101)[:1024]",10.981877580669966,0.010724489824873014,0.21078544647486172,0.21078544647486172,0.5569232588441546,0.7103239920763642,2.954867835218576,117,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,512,101,0,2,0,"permute(master,101)[:512]",11.895294851290599,0.02323299775642695,0.15845640933806387,0.15845640933806387,0.5408654312281139,0.8363963452670385,2.715545604880541,65,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,256,101,0,2,0,"permute(master,101)[:256]",6.898010093239048,0.02694535192671503,0.2381298866351954,0.2381298866351954,0.7775913025489934,0.9779463540941132,2.1391702859422055,35,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,128,101,0,2,0,"permute(master,101)[:128]",2.1197614292260045,0.01656063616582816,0.6647380321646917,0.6647380321646917,0.9711704321488697,0.9987791038191993,1.1571603332515066,16,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,2048,101,0,3,0,"permute(master,101)[:2048]",3.144888291376703,0.0015355899860237808,0.5367517796915331,0.5367517796915331,0.8557334308915941,0.9563116071059281,1.7612665375619052,67,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,1024,101,0,3,0,"permute(master,101)[:1024]",1.5243174937525608,0.0014885913024927351,0.803386860789432,0.803386860789432,0.9846167875920726,0.9953805860983048,0.8056831081123326,41,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,512,101,0,3,0,"permute(master,101)[:512]",2.5468636970347847,0.004974343158271064,0.5453856842145116,0.5453856842145116,0.9698980110846177,0.9953428430408782,1.2324263673433724,28,1e-06,severe_degeneracy,1.05,1.0,0.5
ieee5,256,101,0,3,0,"permute(master,101)[:256]",2.2477968842986864,0.008780456579291744,0.5821263194066555,0.5821263194066555,0.9934574641116203,0.9999805751939167,0.9919756874013067,13,1e-06,severe_degeneracy,1.05,1.0,0.5
ieee5,128,101,0,3,0,"permute(master,101)[:128]",1.128218459848466,0.00881420671756614,0.9395686706781516,0.9395686706781516,0.9999951134020275,0.9999999751903658,0.23265493631248169,6,1e-06,severe_degeneracy,1.05,1.0,0.5
ieee5,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.15,1.0,0.6
ieee5,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.15,1.0,0.6
ieee5,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.15,1.0,0.6
ieee5,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.15,1.0,0.6
ieee5,128,101,0,0,0,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.15,1.0,0.6
ieee5,2048,101,0,1,0,"permute(master,101)[:2048]",213.11150895894679,0.10405835398386074,0.006247746692683142,0.006247746692683142,0.031223132100430186,0.062421163828354484,5.4648953844174475,384,1e-06,moderate_degeneracy,1.05,1.0,0.5
ieee5,1024,101,0,1,0,"permute(master,101)[:1024]",101.60042393372068,0.0992191639977741,0.013109954865737218,0.013109954865737218,0.06551745450118177,0.13073655304221496,4.730406890013057,193,1e-06,moderate_degeneracy,1.15,1.0,0.6
ieee5,512,101,0,1,0,"permute(master,101)[:512]",50.18052953015382,0.09800884673858168,0.025867454858246413,0.025867454858246413,0.12913395238517225,0.2552606010858032,4.022701391659426,92,1e-06,moderate_degeneracy,1.15,1.0,0.6
ieee5,256,101,0,1,0,"permute(master,101)[:256]",22.940524551033672,0.08961142402747528,0.05707058656269917,0.05707058656269917,0.2811123375125275,0.5362813001936079,3.2261813672806965,40,1e-06,moderate_degeneracy,1.15,1.0,0.6
ieee5,128,101,0,1,0,"permute(master,101)[:128]",13.50997230781995,0.10554665865484336,0.09751738643360278,0.09751738643360278,0.4652533437952555,0.8200347410371485,2.709519650241437,27,1e-06,moderate_degeneracy,1.15,1.0,0.6
