system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,policy_gradient_norm,policy_gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee9,202,0,0.9953846153846155,0.9700000000000001,1.0,0.9700000000000001,3.968329429626465,3.987816333770752,3.968104124069214,3.9490678310394287,0.0025,0.048971583567505986,0.10337089747190475,0.0489715827083833,0.10337089747190475,0,4.584972675030048e-09,0.07179031088858315,104,50 43 51,0.009615384615384616,2.076923076923077,0.8076923076923077,0.9134615384615384,0.0,-0.030178567251333825
ieee9,202,1,0.9861538461538463,,,0.9700000000000001,3.967453718185425,3.987846612930298,3.966771125793457,3.9477438926696777,0.0025,0.03672244486313922,0.0963471382856369,0.036722443716336366,0.0963471308350563,0,6.8774590125450725e-09,0.05961415877455315,104,35 29 24,0.009615384615384616,1.9230769230769231,0.8461538461538461,0.9134615384615384,0.0,-0.028886649184502088
ieee9,202,2,0.9930769230769232,,,0.9700000000000001,3.9668006896972656,3.9878427982330322,3.965812921524048,3.946747064590454,0.0025,0.04303128421564067,0.0800558403134346,0.043031283356517985,0.080055832862854,0,3.4387295062725362e-09,0.06944839348866784,104,45 29 25,0.009615384615384616,2.230769230769231,0.8076923076923077,0.875,0.0,-0.029261099747740306
ieee9,202,3,0.9707692307692309,,,0.9700000000000001,3.966048002243042,3.9878463745117188,3.9646377563476562,3.945659637451172,0.0025,0.01992242340482055,0.08605221658945084,0.019922423260420777,0.08605221658945084,0,1.0316188518817608e-08,0.04367714848614724,104,16 28 25,0.009615384615384616,1.3846153846153846,0.9423076923076923,0.9615384615384616,0.0,-0.029372747127826396
ieee9,202,4,0.9776923076923081,,,0.9700000000000001,3.9652435779571533,3.9878315925598145,3.963446617126465,3.9444527626037598,0.0025,0.0304730444354041,0.08365685492753983,0.03047304400556291,0.08365684747695923,0,1.719364753136268e-08,0.051065579830162126,104,18 19 24,0.009615384615384616,1.8461538461538463,0.8846153846153846,0.9038461538461539,0.0,-0.031256346175303824
ieee9,202,5,0.973846153846154,0.9899999999999999,1.0,0.9700000000000001,3.963050365447998,3.987809181213379,3.9601457118988037,3.941195487976074,0.0025,0.023165645992356494,0.06916003674268723,0.023165645992356494,0.06916004419326782,0,1.2608674856332632e-08,0.04402797257199776,104,47 43 20,0.009615384615384616,1.6923076923076923,0.9038461538461539,0.9230769230769231,0.0,-0.02943865482050639
ieee9,202,6,0.9784615384615386,,,0.9700000000000001,3.9610540866851807,3.987816333770752,3.9570765495300293,3.9382688999176025,0.0025,0.03660210397524329,0.09373518079519272,0.03660210426180409,0.09373518079519272,0,2.0059255453256462e-08,0.055746693554716495,104,5 14 45,0.009615384615384616,1.7692307692307692,0.8942307692307693,0.9134615384615384,0.0,-0.03086323319719388
ieee9,202,7,0.9715384615384617,,,0.9700000000000001,3.957772731781006,3.9878249168395996,3.9522035121917725,3.9332897663116455,0.0025,0.027495547511185017,0.08076440542936325,0.027495547513423774,0.08076440542936325,0,1.9486133868877705e-08,0.04305632327126687,104,36 0 43,0.009615384615384616,1.6153846153846154,0.9230769230769231,0.9230769230769231,0.0,-0.029543586505147126
ieee9,202,8,0.9769230769230771,,,0.9700000000000001,3.9548747539520264,3.9878334999084473,3.9480361938476562,3.9287543296813965,0.0025,0.03464921310212678,0.09986422210931778,0.034649212672285594,0.09986422210931778,0,1.7766769115741436e-08,0.05173900215707919,104,34 37 47,0.009615384615384616,1.7692307692307692,0.8942307692307693,0.9134615384615384,0.0,-0.029801997284476574
ieee9,202,9,0.9800000000000002,,,0.9700000000000001,3.9486968517303467,3.9878382682800293,3.939290761947632,3.9189610481262207,0.0025,0.04515620725354753,0.1066308543086052,0.04515620811322991,0.10663086175918579,0,1.3754918025090145e-08,0.0561591282040827,104,10 7 53,0.009615384615384616,1.8461538461538463,0.8846153846153846,0.9038461538461539,0.0,-0.03047972946212842
