method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
fixed,1,113,0.8,0.1,0.7000000000000001,True,0.00012320210225880146,0,0,nan,18 19 25,4.644380822 6.889464113 2.664262048
fixed,2,114,0.9,0.3,0.6000000000000001,True,0.00012052198871970177,0,0,nan,18 19 25,3.634767842 4.366547859 1.559372627
fixed,3,115,0.9,0.5,0.4,True,0.00012366613373160362,0,0,nan,18 19 25,6.733794311 4.687882438 2.347911019
fixed,4,116,0.6,0.4,0.19999999999999996,True,0.00012090615928173065,0,0,nan,18 19 25,3.087698824 2.10681355 1.504762289
fixed,5,117,0.6,0.25,0.35,True,0.00011796597391366959,0,0,nan,18 19 25,6.733423927 2.290677474 1.796080981
fixed,6,118,0.9,0.6,0.30000000000000004,True,0.0001209089532494545,0,0,nan,18 19 25,3.527413399 3.065737931 1.892830956
fixed,7,119,1.0,0.6,0.4,True,0.00013001286424696445,0,0,nan,18 19 25,4.830749392 6.354818187 1.714020277
fixed,8,120,0.6,0.1,0.5,True,0.00012254295870661736,0,0,nan,18 19 25,6.163089768 2.634065991 1.952243367
fixed,9,121,0.8,0.35,0.45000000000000007,True,0.00012342119589447975,0,0,nan,18 19 25,7.498848486 2.76045445 2.129752795
fixed,10,122,1.0,0.15,0.85,True,0.0001236218959093094,0,0,nan,18 19 25,3.45773206 4.76674396 1.804185206
fixed,11,123,1.0,0.1,0.9,True,0.000124368816614151,0,0,nan,18 19 25,3.415441862 3.413896798 3.568669653
fixed,12,124,0.7,0.6,0.09999999999999998,True,0.00012535694986581802,0,0,nan,18 19 25,3.83731933 2.686121628 2.577264191
fixed,13,125,0.9,0.45,0.45,True,0.00012499606236815453,0,0,nan,18 19 25,3.330073718 2.320526653 2.443810866
fixed,14,126,0.9,0.3,0.6000000000000001,True,0.00014298409223556519,0,0,nan,18 19 25,4.850899256 3.179215043 3.055258334
