update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
1,0.2306250035762787,0.2306250035762787,MoE-sBOED,0.2991483211517334,64,3.364771604537964,1.3858379125595093,0.05942799150943756,0.25697633624076843,0.11925315111875534,,,,,,,,,,,
2,0.24140626192092896,0.24140626192092896,MoE-sBOED,0.04952406883239746,128,3.3636739253997803,1.3861063718795776,0.05509718134999275,0.2521524131298065,0.11933770030736923,,,,,,,,,,,
3,0.22078123688697815,0.22078123688697815,MoE-sBOED,0.04984641075134277,192,3.3616273403167725,1.3859519958496094,0.009914979338645935,0.25676435232162476,0.11933938413858414,,,,,,,,,,,
4,0.23906250298023224,0.23906250298023224,MoE-sBOED,0.04936385154724121,256,3.358455181121826,1.3861464262008667,0.00978273805230856,0.2524728775024414,0.11930978298187256,,,,,,,,,,,
5,0.2278124988079071,0.2278124988079071,MoE-sBOED,0.04841423034667969,320,3.3546361923217773,1.3861459493637085,0.003633790882304311,0.25308871269226074,0.11933580040931702,,,,,,,,,,,
6,0.21796876192092896,0.21796876192092896,MoE-sBOED,0.04952812194824219,384,3.346587896347046,1.3861907720565796,0.0035297672729939222,0.2518787980079651,0.1194099485874176,,,,,,,,,,,
7,0.21796876192092896,0.21796876192092896,MoE-sBOED,0.04933738708496094,448,3.333759307861328,1.3862004280090332,0.0018600733019411564,0.25296735763549805,0.11948810517787933,,,,,,,,,,,
8,0.22031250596046448,0.22031250596046448,MoE-sBOED,0.05020308494567871,512,3.3125948905944824,1.386234998703003,0.00046228442806750536,0.25210022926330566,0.11956838518381119,,,,,,,,,,,
9,0.21703124046325684,0.21703124046325684,MoE-sBOED,0.04975605010986328,576,3.2758684158325195,1.3861935138702393,0.0043392181396484375,0.254219651222229,0.11969538778066635,,,,,,,,,,,
10,0.2095312476158142,0.2095312476158142,MoE-sBOED,0.04988408088684082,640,3.222975730895996,1.3861221075057983,0.0018301302334293723,0.2564501166343689,0.11983945220708847,,,,,,,,,,,
11,0.2006250023841858,0.2006250023841858,MoE-sBOED,0.04996132850646973,704,3.1331539154052734,1.386257529258728,0.0008520203409716487,0.2513289451599121,0.11999727040529251,,,,,,,,,,,
12,0.19499999284744263,0.19499999284744263,MoE-sBOED,0.050142765045166016,768,3.037324905395508,1.3862066268920898,0.0009589821565896273,0.25448179244995117,0.12011763453483582,,,,,,,,,,,
13,0.21140626072883606,0.21140626072883606,MoE-sBOED,0.0499575138092041,832,2.9511706829071045,1.3861496448516846,0.0015844334848225117,0.2545827627182007,0.1202070415019989,,,,,,,,,,,
