update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.2095312476158142,0.2095312476158142,RL-sBOED,0.27225232124328613,64,3.317460298538208,,,,,,,,,,
2,0.18703126907348633,0.18703126907348633,RL-sBOED,0.05005598068237305,128,3.307608127593994,,,,,,,,,,
3,0.19171874225139618,0.1979687362909317,RL-sBOED,0.048127174377441406,192,3.300534963607788,,,,,,,,,,
4,0.1954687535762787,0.1954687535762787,RL-sBOED,0.048211097717285156,256,3.296096086502075,,,,,,,,,,
5,0.19453124701976776,0.19453124701976776,RL-sBOED,0.04816293716430664,320,3.2897515296936035,,,,,,,,,,
6,0.20109376311302185,0.20109376311302185,RL-sBOED,0.04812002182006836,384,3.2817306518554688,,,,,,,,,,
7,0.1978124976158142,0.1978124976158142,RL-sBOED,0.05154156684875488,448,3.2637124061584473,,,,,,,,,,
8,0.18703123927116394,0.18703123927116394,RL-sBOED,0.054673194885253906,512,3.2462518215179443,,,,,,,,,,
9,0.18703126907348633,0.18703126907348633,RL-sBOED,0.0540006160736084,576,3.2221686840057373,,,,,,,,,,
10,0.18984374403953552,0.18984374403953552,RL-sBOED,0.05607771873474121,640,3.1910207271575928,,,,,,,,,,
11,0.2057812511920929,0.2057812511920929,RL-sBOED,0.05029129981994629,704,3.158076763153076,,,,,,,,,,
12,0.18187500536441803,0.18187500536441803,RL-sBOED,0.05413174629211426,768,3.126202344894409,,,,,,,,,,
13,0.19171874225139618,0.19171874225139618,RL-sBOED,0.05107831954956055,832,3.098088026046753,,,,,,,,,,
14,0.1912499964237213,0.1912499964237213,RL-sBOED,0.0459294319152832,896,3.0698177814483643,,,,,,,,,,
15,0.19171874225139618,0.19171874225139618,RL-sBOED,0.05317330360412598,960,3.0768210887908936,,,,,,,,,,
16,0.19499999284744263,0.19499999284744263,RL-sBOED,0.045729875564575195,1024,3.0631330013275146,,,,,,,,,,
17,0.1860937476158142,0.1860937476158142,RL-sBOED,0.04573941230773926,1088,3.112441062927246,,,,,,,,,,
18,0.18984374403953552,0.18984374403953552,RL-sBOED,0.04581475257873535,1152,3.133601188659668,,,,,,,,,,
19,0.1940625011920929,0.1940625011920929,RL-sBOED,0.045764923095703125,1216,3.110285520553589,,,,,,,,,,
20,0.18515625596046448,0.18515625596046448,RL-sBOED,0.04571986198425293,1280,3.093487501144409,,,,,,,,,,
21,0.1875,0.1875,RL-sBOED,0.045740365982055664,1344,3.0654468536376953,,,,,,,,,,
22,0.16687500476837158,0.16687500476837158,RL-sBOED,0.04575657844543457,1408,3.0344626903533936,,,,,,,,,,
23,0.1964062601327896,0.1964062601327896,RL-sBOED,0.045737266540527344,1472,2.9899709224700928,,,,,,,,,,
24,0.18796876072883606,0.18796876072883606,RL-sBOED,0.04578900337219238,1536,2.93400239944458,,,,,,,,,,
