system,particle_count,support_seed,history_id,history_step,optimal_bus,optimal_amplitude,optimal_design,reference_optimal_design,design_agreement,bus_agreement,amplitude_agreement,reference_regret,J_star_snapped,J_star_continuous
ieee9,2048,101,-1,0,3,0.05,3,,,,,nan,0.9875,0.9675
ieee9,1024,101,-1,0,3,0.05,3,3,True,True,True,0.0,0.97,0.93
ieee9,512,101,-1,0,3,0.2,39,3,False,True,False,0.0,0.9875,0.9875
ieee9,256,101,-1,0,3,0.05,3,3,True,True,True,0.0,0.9824999999999999,0.9674999999999999
ieee9,128,101,-1,0,3,0.05,3,3,True,True,True,0.0,0.9675,0.9125000000000001
ieee9,2048,101,0,0,3,0.1,21,,,,,nan,0.98,0.9275
ieee9,1024,101,0,0,3,0.3,48,21,False,True,False,0.0050000000000000044,0.9974999999999999,0.9824999999999999
ieee9,512,101,0,0,3,0.3,48,21,False,True,False,0.0050000000000000044,1.0025,0.985
ieee9,256,101,0,0,3,0.2,39,21,False,True,False,0.0024999999999999467,0.9924999999999999,0.9525
ieee9,128,101,0,0,3,0.05,3,21,False,True,False,0.0024999999999999467,0.9824999999999999,0.9500000000000001
ieee9,2048,101,0,1,1,0.05,1,,,,,nan,0.96,0.9
ieee9,1024,101,0,1,1,0.05,1,1,True,True,True,0.0,0.96,0.9
ieee9,512,101,0,1,1,0.05,1,1,True,True,True,0.0,0.96,0.9
ieee9,256,101,0,1,1,0.05,1,1,True,True,True,0.0,0.96,0.9
ieee9,128,101,0,1,1,0.05,1,1,True,True,True,0.0,0.96,0.9
ieee9,2048,101,0,0,3,0.1,21,,,,,nan,0.98,0.9275
ieee9,1024,101,0,0,3,0.3,48,21,False,True,False,0.0050000000000000044,0.9974999999999999,0.9824999999999999
ieee9,512,101,0,0,3,0.3,48,21,False,True,False,0.0050000000000000044,1.0025,0.985
ieee9,256,101,0,0,3,0.2,39,21,False,True,False,0.0024999999999999467,0.9924999999999999,0.9525
ieee9,128,101,0,0,3,0.05,3,21,False,True,False,0.0024999999999999467,0.9824999999999999,0.9500000000000001
ieee9,2048,101,0,1,3,0.3,48,,,,,nan,0.9974999999999999,0.98
ieee9,1024,101,0,1,3,0.05,3,48,False,True,False,0.015000000000000235,1.0175,1.03
ieee9,512,101,0,1,3,0.2,39,48,False,True,False,0.0050000000000000044,0.98,0.9474999999999999
