update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.35062499999999996,0.35062499999999996,DAD,0.5310060977935791,64,4.412988662719727,,,,,,,,,
2,0.3775,0.3775,DAD,0.34197402000427246,128,4.413043022155762,,,,,,,,,
3,0.35625,0.35625,DAD,0.3413584232330322,192,4.412758827209473,,,,,,,,,
4,0.344375,0.344375,DAD,0.34113597869873047,256,4.4126081466674805,,,,,,,,,
5,0.36,0.36,DAD,0.34498167037963867,320,4.412215709686279,,,,,,,,,
6,0.384375,0.384375,DAD,0.3381216526031494,384,4.411755084991455,,,,,,,,,
7,0.355,0.355,DAD,0.33818674087524414,448,4.411280632019043,,,,,,,,,
8,0.365,0.365,DAD,0.3395352363586426,512,4.410594940185547,,,,,,,,,
9,0.355,0.355,DAD,0.33865928649902344,576,4.409870147705078,,,,,,,,,
10,0.3575,0.3575,DAD,0.338287353515625,640,4.409156322479248,,,,,,,,,
11,0.344375,0.344375,DAD,0.34068846702575684,704,4.408298492431641,,,,,,,,,
12,0.321875,0.321875,DAD,0.3388988971710205,768,4.407645225524902,,,,,,,,,
13,0.35000000000000003,0.35000000000000003,DAD,0.3379342555999756,832,4.406773567199707,,,,,,,,,
14,0.36250000000000004,0.36250000000000004,DAD,0.34104418754577637,896,4.405921936035156,,,,,,,,,
15,0.359375,0.359375,DAD,0.33873653411865234,960,4.404707431793213,,,,,,,,,
16,0.36375,0.36375,DAD,0.33832573890686035,1024,4.403609275817871,,,,,,,,,
17,0.33875,0.33875,DAD,0.3404722213745117,1088,4.402683734893799,,,,,,,,,
18,0.348125,0.348125,DAD,0.3377804756164551,1152,4.40168571472168,,,,,,,,,
19,0.345,0.345,DAD,0.3375396728515625,1216,4.400794982910156,,,,,,,,,
20,0.325,0.325,DAD,0.33722639083862305,1280,4.399797439575195,,,,,,,,,
21,0.32249999999999995,0.32249999999999995,DAD,0.33872485160827637,1344,4.399074077606201,,,,,,,,,
22,0.32125000000000004,0.32125000000000004,DAD,0.33789587020874023,1408,4.398200035095215,,,,,,,,,
23,0.3375,0.3375,DAD,0.339719295501709,1472,4.396914482116699,,,,,,,,,
24,0.33375,0.33375,DAD,0.33794617652893066,1536,4.396627902984619,,,,,,,,,
25,0.353125,0.353125,DAD,0.3371281623840332,1600,4.395124435424805,0.31125,17,2.436741986811717,0.1328125,0.09375,1,0.006875,0.31125,1
26,0.345,0.345,DAD,0.3394906520843506,1664,4.394168853759766,,,,,,,,,
27,0.339375,0.339375,DAD,0.3381526470184326,1728,4.393254280090332,,,,,,,,,
28,0.333125,0.333125,DAD,0.34043288230895996,1792,4.392126083374023,,,,,,,,,
29,0.35125,0.35125,DAD,0.3377387523651123,1856,4.391013145446777,,,,,,,,,
30,0.33687500000000004,0.33687500000000004,DAD,0.3379530906677246,1920,4.390007019042969,,,,,,,,,
31,0.34187500000000004,0.34187500000000004,DAD,0.33826613426208496,1984,4.3881916999816895,,,,,,,,,
32,0.33,0.33,DAD,0.3419535160064697,2048,4.386611461639404,,,,,,,,,
33,0.33999999999999997,0.33999999999999997,DAD,0.33995866775512695,2112,4.385000705718994,,,,,,,,,
34,0.375625,0.375625,DAD,0.3408651351928711,2176,4.3829121589660645,,,,,,,,,
35,0.349375,0.349375,DAD,0.3399360179901123,2240,4.3806047439575195,,,,,,,,,
36,0.333125,0.333125,DAD,0.3411872386932373,2304,4.377963066101074,,,,,,,,,
37,0.321875,0.321875,DAD,0.3388957977294922,2368,4.375728130340576,,,,,,,,,
38,0.3525,0.3525,DAD,0.3413834571838379,2432,4.372471332550049,,,,,,,,,
39,0.32437499999999997,0.32437499999999997,DAD,0.34069156646728516,2496,4.369329452514648,,,,,,,,,
40,0.35625,0.35625,DAD,0.340498685836792,2560,4.367369651794434,,,,,,,,,
41,0.34125,0.34125,DAD,0.3385012149810791,2624,4.364313125610352,,,,,,,,,
42,0.35125,0.38406250000000003,DAD,0.3405187129974365,2688,4.361726760864258,,,,,,,,,
43,0.351875,0.351875,DAD,0.33897900581359863,2752,4.359007835388184,,,,,,,,,
44,0.31812500000000005,0.31812500000000005,DAD,0.3425438404083252,2816,4.356019496917725,,,,,,,,,
45,0.353125,0.353125,DAD,0.34067320823669434,2880,4.353020668029785,,,,,,,,,
46,0.34750000000000003,0.34750000000000003,DAD,0.34311771392822266,2944,4.349563121795654,,,,,,,,,
47,0.34125,0.34125,DAD,0.3390355110168457,3008,4.346871376037598,,,,,,,,,
48,0.33187500000000003,0.33187500000000003,DAD,0.3417377471923828,3072,4.34311056137085,,,,,,,,,
49,0.3275,0.3353125,DAD,0.3396134376525879,3136,4.339649200439453,,,,,,,,,
50,0.340625,0.340625,DAD,0.3416013717651367,3200,4.335188865661621,0.29937500000000006,10,1.3723808363483203,0.078125,0.09375,1,0.009375,0.29937500000000006,1
51,0.34875,0.34875,DAD,0.3407478332519531,3264,4.330658435821533,,,,,,,,,
52,0.35624999999999996,0.35624999999999996,DAD,0.33818745613098145,3328,4.326725006103516,,,,,,,,,
